#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   1  10   7.2e-93   4.6e-89  298.0   2.2     1   162     1   179     1   183 0.91 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   2  10   2.1e-76   1.3e-72  243.5   0.7   162   292   224   354   220   357 0.97 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   3  10  5.3e-148  3.4e-144  480.6   4.6   292   508   406   634   403   637 0.95 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   4  10   8.4e-19   5.4e-15   52.8   0.7   505   567   723   784   707   792 0.87 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   5  10   1.4e-79   9.1e-76  254.0   0.7   545   693   792   946   780   952 0.93 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   6  10   1.9e-49   1.2e-45  154.2   0.1   708   802  1176  1270  1169  1284 0.92 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   7  10   1.8e-14   1.2e-10   38.4   0.0   795   835  1356  1404  1349  1408 0.83 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   8  10     6e-56   3.8e-52  175.8   1.6   833   947  1442  1558  1435  1570 0.94 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2   9  10   1.5e-05     0.097    8.9   0.1   943   964  1588  1609  1585  1614 0.92 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717795.1         -           1852 958at5820            -           1125         0 1927.7  69.2  10  10   3.1e-81     2e-77  259.5   4.9   962  1125  1678  1852  1669  1852 0.92 | transcript=PVPAM_010030900_t1 | gene=PVPAM_010030900 | organism=Plasmodium_vivax_PAM | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=CASCJQ010000001:1147679-1154133(-) | protein_length=1852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
