#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723399.1         -            517 7216at5820           -            365    2e-204  677.0  25.3   1   2   4.4e-34   5.5e-32  109.7   4.9     1    88     1   103     1   111 0.86 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 7216at5820           -            365    2e-204  677.0  25.3   2   2  6.7e-174  8.3e-172  569.7  12.4    87   365   231   517   220   517 0.97 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 7216at5820           -            365   1.2e-36  125.0   2.0   1   2     5e-19   6.2e-17   60.1   1.8    95   201   186   290   170   295 0.85 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 7216at5820           -            365   1.2e-36  125.0   2.0   2   2   5.9e-20   7.4e-18   63.2   0.0   242   360   294   417   290   421 0.88 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 7216at5820           -            365   5.7e-33  112.9  14.6   1   3       2.9   3.6e+02   -1.6   0.5   208   246   293   331   286   335 0.83 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 7216at5820           -            365   5.7e-33  112.9  14.6   2   3   1.3e-13   1.7e-11   42.3   4.4    91   200  1526  1635  1500  1642 0.88 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 7216at5820           -            365   5.7e-33  112.9  14.6   3   3   4.2e-24   5.2e-22   76.9   0.0   243   360  1641  1762  1635  1766 0.86 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 7216at5820           -            365   5.6e-31  106.3  12.4   1   2   1.7e-13   2.1e-11   42.0   4.0   112   201   113   203    99   209 0.91 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 7216at5820           -            365   5.6e-31  106.3  12.4   2   2     7e-22   8.7e-20   69.5   1.4   245   361   210   330   202   334 0.84 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 7216at5820           -            365   1.2e-30  105.3  13.7   1   2   9.2e-17   1.1e-14   52.7   5.7    97   203   149   253   127   259 0.88 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 7216at5820           -            365   1.2e-30  105.3  13.7   2   2   2.2e-18   2.7e-16   58.0   1.1   243   361   256   378   250   382 0.86 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
