#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   1  18  8.5e-109  5.5e-105  350.4   3.7     1   273     2   301     2   307 0.91 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   2  18  1.7e-141  1.1e-137  458.9  12.0   274   630   332   760   325   766 0.86 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   3  18   7.6e-20   4.9e-16   55.3   1.1   655   709   929   989   907   993 0.81 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   4  18     5e-42   3.2e-38  128.9  26.2   704   800  1010  1131  1000  1133 0.79 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   5  18   2.4e-34   1.6e-30  103.4   0.2   800   870  1203  1273  1199  1277 0.97 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   6  18   7.7e-73     5e-69  231.1   6.9   871  1019  1327  1483  1322  1490 0.96 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   7  18   1.3e-43   8.5e-40  134.1   0.0  1017  1116  1529  1646  1524  1649 0.90 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   8  18     1e-59   6.8e-56  187.5  13.0  1116  1234  1681  1801  1676  1803 0.96 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   9  18   1.1e-19   6.8e-16   54.8   1.4  1233  1311  1860  1972  1858  1976 0.76 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  10  18   7.8e-55     5e-51  171.4   9.7  1307  1450  2001  2150  1994  2153 0.94 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  11  18   2.7e-12   1.8e-08   30.2   0.2  1458  1502  2452  2496  2449  2506 0.92 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  12  18   9.1e-52   5.9e-48  161.2  14.3  1490  1646  2516  2693  2501  2695 0.91 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  13  18   9.6e-49   6.2e-45  151.2   5.6  1646  1756  2741  2852  2729  2856 0.95 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  14  18   6.4e-54   4.1e-50  168.3   9.6  1754  1971  2877  3167  2873  3170 0.80 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  15  18   5.8e-35   3.8e-31  105.4   0.2  1988  2082  3446  3546  3440  3556 0.91 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  16  18  2.9e-100   1.9e-96  322.1   9.3  2087  2345  3590  3895  3585  3924 0.83 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  17  18   7.9e-82   5.1e-78  260.9  17.1  2332  2523  4106  4332  4098  4334 0.87 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
