#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720439.1         -            240 11393at5820          -            175  5.2e-105  347.6   7.7   1   1  1.4e-107  6.7e-105  347.3   7.7    13   174    78   239    72   240 0.98 | transcript=PVPAM_090020400_t1 | gene=PVPAM_090020400 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:741408-742611(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 11393at5820          -            175   6.8e-10   37.9   2.5   1   3   3.4e-05     0.016   13.9   0.2   114   169   407   462   372   472 0.74 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 11393at5820          -            175   6.8e-10   37.9   2.5   2   3   1.7e-05    0.0078   14.9   0.0    63   104   620   661   607   678 0.88 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 11393at5820          -            175   6.8e-10   37.9   2.5   3   3     0.014       6.4    5.4   0.0   119   171   777   832   761   836 0.80 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 11393at5820          -            175   6.8e-08   31.4   8.8   1   2   6.5e-07    0.0003   19.5   0.7    62   115  1010  1065   983  1081 0.79 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 11393at5820          -            175   6.8e-08   31.4   8.8   2   2   8.1e-06    0.0037   16.0   0.7    63   120  1908  1966  1897  1980 0.82 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 11393at5820          -            175   1.3e-06   27.2   0.6   1   2   1.9e-06   0.00089   18.0   0.0   124   169  2113  2158  2102  2164 0.90 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 11393at5820          -            175   1.3e-06   27.2   0.6   2   2    0.0052       2.4    6.8   0.1   125   170  2213  2260  2166  2271 0.72 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723561.1         -           2887 11393at5820          -            175   3.2e-05   22.7   0.4   1   1   1.7e-07   7.7e-05   21.4   0.4   111   172  1901  1962  1889  1965 0.90 | transcript=PVPAM_140048500_t1 | gene=PVPAM_140048500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:1848533-1857196(+) | protein_length=2887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 11393at5820          -            175   0.00056   18.6   4.2   1   2   2.4e-05     0.011   14.4   0.6    67   107   906   947   883   954 0.83 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 11393at5820          -            175   0.00056   18.6   4.2   2   2     0.028        13    4.5   0.2   124   172  1907  1951  1894  1957 0.83 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
