#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721160.1         -            176 12801at5820          -            151   7.2e-90  297.2  15.0   1   1   1.3e-92   8.3e-90  297.0  15.0     1   151     1   157     1   157 0.97 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 12801at5820          -            151   1.2e-14   53.0  41.0   1   5    0.0009      0.58    8.6   1.8    94   127    25    58     9    63 0.78 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 12801at5820          -            151   1.2e-14   53.0  41.0   2   5   2.5e-09   1.6e-06   26.7  19.6     7   123    29   142    25   143 0.93 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 12801at5820          -            151   1.2e-14   53.0  41.0   3   5   2.7e-09   1.8e-06   26.5   8.9    20    99    86   162    81   164 0.91 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 12801at5820          -            151   1.2e-14   53.0  41.0   4   5   2.8e-07   0.00018   20.0   5.8    25   117   135   223   134   229 0.81 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 12801at5820          -            151   1.2e-14   53.0  41.0   5   5     2e-05     0.013   14.0   7.5    53   140   208   298   205   307 0.79 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 12801at5820          -            151   6.9e-10   37.6  60.1   1   6     0.035        23    3.4   6.4    41   119    30   106     4   110 0.84 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 12801at5820          -            151   6.9e-10   37.6  60.1   2   6   1.5e-07   9.8e-05   20.9   2.7    42   149   120   233   108   235 0.81 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 12801at5820          -            151   6.9e-10   37.6  60.1   3   6     0.008       5.2    5.5   0.2    81   114   801   834   781   877 0.63 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 12801at5820          -            151   6.9e-10   37.6  60.1   4   6     0.036        23    3.4  11.1     8   138   995  1124   989  1135 0.77 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 12801at5820          -            151   6.9e-10   37.6  60.1   5   6   0.00041      0.26    9.7   1.7    39   111  1185  1264  1159  1269 0.66 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 12801at5820          -            151   6.9e-10   37.6  60.1   6   6   1.9e-07   0.00012   20.5   3.1    41   140  1265  1360  1256  1369 0.87 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 12801at5820          -            151   3.2e-09   35.4   2.6   1   1   7.9e-12   5.1e-09   34.8   2.6    16   140    29   164    18   171 0.80 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 12801at5820          -            151   4.7e-09   34.9  27.0   1   2   2.1e-06    0.0013   17.2   4.4    46   123     6    86     2    90 0.80 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 12801at5820          -            151   4.7e-09   34.9  27.0   2   2   1.4e-10   8.8e-08   30.7  14.6    16   149    70   208    66   210 0.85 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 12801at5820          -            151   1.4e-08   33.4  15.0   1   2   6.8e-07   0.00044   18.7   7.6    40   127    58   142    32   162 0.83 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 12801at5820          -            151   1.4e-08   33.4  15.0   2   2   8.4e-07   0.00054   18.4   0.7    91   148   262   324   251   327 0.71 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 12801at5820          -            151   8.7e-07   27.5  31.5   1   5   0.00013     0.081   11.4   4.6    71   123    21    74     8    90 0.81 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 12801at5820          -            151   8.7e-07   27.5  31.5   2   5   8.9e-08   5.7e-05   21.6  12.3    18   104    82   165    76   183 0.78 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 12801at5820          -            151   8.7e-07   27.5  31.5   3   5   3.9e-07   0.00025   19.5  11.1    44   113   107   175   106   227 0.82 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
