#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721291.1         -            479 5343at5820           -            436  1.5e-284  941.9  17.4   1   1  2.4e-287  1.8e-284  941.7  17.4     1   436     7   472     7   472 0.97 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 5343at5820           -            436   1.4e-22   78.7  17.0   1   5      0.51   3.6e+02   -1.8   0.0    62   101    68   113    32   120 0.68 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 5343at5820           -            436   1.4e-22   78.7  17.0   2   5   6.8e-05     0.049   11.0   0.0   115   164   234   288   225   292 0.80 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 5343at5820           -            436   1.4e-22   78.7  17.0   3   5     2e-09   1.4e-06   26.0   0.7    82   155   332   410   311   419 0.71 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 5343at5820           -            436   1.4e-22   78.7  17.0   4   5   4.7e-11   3.4e-08   31.3   0.2    64   146   624   712   608   749 0.84 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 5343at5820           -            436   1.4e-22   78.7  17.0   5   5   1.6e-06    0.0011   16.4   0.4    84   257   778   959   771   972 0.68 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 5343at5820           -            436     1e-17   62.7  15.5   1   4   5.2e-08   3.7e-05   21.3   0.2    53   141    90   184    67   199 0.58 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 5343at5820           -            436     1e-17   62.7  15.5   2   4   1.2e-10   8.6e-08   30.0   0.6    67   146   217   302   195   311 0.79 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 5343at5820           -            436     1e-17   62.7  15.5   3   4   8.3e-11     6e-08   30.5   1.1    65   141   269   356   268   372 0.81 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 5343at5820           -            436     1e-17   62.7  15.5   4   4    0.0017       1.2    6.4   0.5   114   146   377   411   364   429 0.67 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 5343at5820           -            436   1.1e-12   46.0  11.1   1   4   0.00017      0.12    9.7   0.0   320   359    56    92    30   122 0.71 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 5343at5820           -            436   1.1e-12   46.0  11.1   2   4    0.0021       1.5    6.1   0.2    65    98   163   196   137   212 0.82 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 5343at5820           -            436   1.1e-12   46.0  11.1   3   4   1.3e-05    0.0097   13.3   0.1   115   141   361   387   331   399 0.88 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 5343at5820           -            436   1.1e-12   46.0  11.1   4   4   5.1e-08   3.7e-05   21.3   1.0   253   363   426   537   414   546 0.73 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 5343at5820           -            436   4.7e-12   44.0   8.8   1   3   5.2e-06    0.0037   14.7   0.1   275   354    35   119     3   126 0.75 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 5343at5820           -            436   4.7e-12   44.0   8.8   2   3   2.8e-08     2e-05   22.2   0.9   259   357   225   322   176   333 0.75 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 5343at5820           -            436   4.7e-12   44.0   8.8   3   3   0.00028       0.2    9.0   0.1   116   141   350   375   341   386 0.68 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 5343at5820           -            436   1.2e-09   36.1  11.4   1   2   4.9e-08   3.5e-05   21.4   0.8    50   131    71   155    30   170 0.88 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 5343at5820           -            436   1.2e-09   36.1  11.4   2   2   3.3e-07   0.00024   18.6   3.9    64   152   287   378   272   450 0.74 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719640.1         -           2587 5343at5820           -            436   7.1e-08   30.2   9.1   1   3   1.1e-06   0.00079   16.9   0.4    43   147    55   159    49   175 0.79 | transcript=PVPAM_070025400_t1 | gene=PVPAM_070025400 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=CASCJQ010000007:902937-910700(-) | protein_length=2587 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719640.1         -           2587 5343at5820           -            436   7.1e-08   30.2   9.1   2   3   1.4e-05      0.01   13.3   0.3   224   258   276   310   269   316 0.93 | transcript=PVPAM_070025400_t1 | gene=PVPAM_070025400 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=CASCJQ010000007:902937-910700(-) | protein_length=2587 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719640.1         -           2587 5343at5820           -            436   7.1e-08   30.2   9.1   3   3     0.033        23    2.2   0.1   109   157   316   369   311   388 0.72 | transcript=PVPAM_070025400_t1 | gene=PVPAM_070025400 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=CASCJQ010000007:902937-910700(-) | protein_length=2587 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720719.1         -            985 5343at5820           -            436   4.1e-07   27.7   1.2   1   3      0.26   1.9e+02   -0.8   0.0   332   371   190   231   174   235 0.79 | transcript=PVPAM_090048400_t1 | gene=PVPAM_090048400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1957347-1960495(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720719.1         -            985 5343at5820           -            436   4.1e-07   27.7   1.2   2   3   5.7e-10   4.1e-07   27.7   1.2    62   143   237   329   226   373 0.79 | transcript=PVPAM_090048400_t1 | gene=PVPAM_090048400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1957347-1960495(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720719.1         -            985 5343at5820           -            436   4.1e-07   27.7   1.2   3   3      0.13        95    0.2   0.2    53   123   433   503   407   514 0.71 | transcript=PVPAM_090048400_t1 | gene=PVPAM_090048400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1957347-1960495(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 5343at5820           -            436   0.00016   19.2   7.5   1   4   0.00019      0.14    9.5   0.6   117   260   581   727   573   731 0.69 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 5343at5820           -            436   0.00016   19.2   7.5   2   4      0.32   2.3e+02   -1.1   0.1   336   358   780   802   766   847 0.72 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 5343at5820           -            436   0.00016   19.2   7.5   3   4   0.00048      0.34    8.2   0.0   115   140   901   926   876   935 0.83 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718964.1         -           1809 5343at5820           -            436   0.00016   19.2   7.5   4   4      0.05        36    1.5   0.0   224   238  1195  1209  1183  1215 0.84 | transcript=PVPAM_050035600_t1 | gene=PVPAM_050035600 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000005:1277695-1283124(+) | protein_length=1809 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5343at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5343at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5343at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:22 2026
# [ok]
