#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719197.1         -            181 13164at5820          -            130   4.3e-74  245.5   3.0   1   1   1.6e-76   5.7e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVPAM_060020400_t1 | gene=PVPAM_060020400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000006:677528-678073(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 13164at5820          -            130   1.2e-08   33.9   1.8   1   2   3.3e-11   1.2e-08   33.9   1.8    31   102   156   227   148   236 0.95 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 13164at5820          -            130   1.2e-08   33.9   1.8   2   2       3.9   1.4e+03   -1.9   0.1    53    53   965   965   937  1012 0.51 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 13164at5820          -            130   1.4e-07   30.4   4.9   1   5       2.7   9.7e+02   -1.4   1.4    23    68    35    87    28   125 0.56 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 13164at5820          -            130   1.4e-07   30.4   4.9   2   5      0.24        87    2.0   0.2     1    61   551   610   551   635 0.90 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 13164at5820          -            130   1.4e-07   30.4   4.9   3   5       4.2   1.5e+03   -2.0   0.0    35    54   720   740   703   781 0.55 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 13164at5820          -            130   1.4e-07   30.4   4.9   4   5     0.018       6.5    5.6   0.1    10    51   842   882   837   946 0.78 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 13164at5820          -            130   1.4e-07   30.4   4.9   5   5   3.9e-10   1.4e-07   30.4   4.9     5   111   953  1060   949  1068 0.83 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13164at5820          -            130   1.8e-07   30.1   4.5   1   4     0.054        19    4.1   0.0    55    93    43    82    14    89 0.75 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13164at5820          -            130   1.8e-07   30.1   4.5   2   4     0.047        17    4.3   0.1    66    94   142   170   116   182 0.78 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13164at5820          -            130   1.8e-07   30.1   4.5   3   4   0.00018     0.066   12.1   0.3    24    95   190   258   172   263 0.81 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
