#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722312.1         -            104 14627at5820          -             88   3.2e-59  195.8   0.8   1   1   7.6e-62   3.8e-59  195.6   0.8     1    88    15   103    15   103 0.98 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 14627at5820          -             88   4.8e-18   63.8   3.1   1   3   2.9e-12   1.5e-09   36.6   0.0     1    66    44   113    44   127 0.75 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 14627at5820          -             88   4.8e-18   63.8   3.1   2   3      0.49   2.4e+02    0.6   0.2    12    61   175   229   165   234 0.71 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 14627at5820          -             88   4.8e-18   63.8   3.1   3   3   1.7e-08   8.6e-06   24.5   0.0     7    43   374   413   368   455 0.72 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719696.1         -            133 14627at5820          -             88   8.4e-14   50.2   0.0   1   1   2.4e-16   1.2e-13   49.7   0.0     4    80    41   118    38   125 0.92 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 14627at5820          -             88   3.2e-11   41.9   0.3   1   1   1.2e-13   5.9e-11   41.1   0.3     3    87    85   173    83   174 0.83 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 14627at5820          -             88   1.1e-09   37.1   0.1   1   1     3e-12   1.5e-09   36.6   0.1     3    69    69   136    67   156 0.87 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 14627at5820          -             88   9.7e-08   30.8   1.7   1   3   0.00098      0.49    9.3   0.3     2    46    46    91    45   118 0.72 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 14627at5820          -             88   9.7e-08   30.8   1.7   2   3   8.6e-07   0.00043   19.1   0.0     4    68   184   251   181   268 0.75 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 14627at5820          -             88   9.7e-08   30.8   1.7   3   3       5.9   2.9e+03   -2.8   0.0    28    47   382   402   376   409 0.58 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722263.1         -            121 14627at5820          -             88   4.4e-05   22.2   1.0   1   1   1.2e-07   5.8e-05   21.9   0.7     5    86    28   113    23   115 0.66 | transcript=PVPAM_120050000_t1 | gene=PVPAM_120050000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=CASCJQ010000012:1839394-1839759(+) | protein_length=121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 14627at5820          -             88   4.6e-05   22.2   0.6   1   1   2.7e-07   0.00014   20.7   0.6     7    76   203   274   197   286 0.83 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 14627at5820          -             88   7.6e-05   21.5   0.4   1   1   2.8e-07   0.00014   20.6   0.4     9    69    50   111    43   134 0.88 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 14627at5820          -             88   0.00056   18.7   4.7   1   3      0.13        64    2.5   0.1    13    76    54   120    42   125 0.67 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 14627at5820          -             88   0.00056   18.7   4.7   2   3       1.5   7.4e+02   -0.9   0.0    28    51   307   327   305   343 0.71 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 14627at5820          -             88   0.00056   18.7   4.7   3   3   1.1e-05    0.0053   15.6   0.3     6    33   422   449   418   492 0.86 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719961.1         -            193 14627at5820          -             88    0.0014   17.4   0.1   1   1   5.4e-06    0.0027   16.5   0.1     9    71    96   158    83   175 0.83 | transcript=PVPAM_080018400_t1 | gene=PVPAM_080018400 | organism=Plasmodium_vivax_PAM | gene_product=phosducin-like protein 3, putative | transcript_product=phosducin-like protein 3, putative | location=CASCJQ010000008:631518-632099(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720559.1         -            424 14627at5820          -             88    0.0085   14.9   0.4   1   1   5.5e-05     0.027   13.3   0.4     3    67    44   115    42   136 0.77 | transcript=PVPAM_090032500_t1 | gene=PVPAM_090032500 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1239892-1243411(+) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 14627at5820          -             88      0.44    9.4   6.0   1   4      0.34   1.7e+02    1.1   0.1     8    62    63   118    57   126 0.78 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 14627at5820          -             88      0.44    9.4   6.0   2   4       1.5   7.4e+02   -0.9   0.0    27    48   144   166   139   199 0.65 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 14627at5820          -             88      0.44    9.4   6.0   3   4   0.00094      0.47    9.3   0.1    34    74   202   242   187   247 0.80 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 14627at5820          -             88      0.44    9.4   6.0   4   4       6.2   3.1e+03   -2.9   0.0    33    46   371   384   355   396 0.54 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14627at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14627at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14627at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
