#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721268.1         -            367 7557at5820           -            335  6.7e-221  730.6   7.0   1   1  9.5e-224  7.7e-221  730.4   7.0     1   335     1   351     1   351 0.97 | transcript=PVPAM_110017000_t1 | gene=PVPAM_110017000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:514354-517480(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 7557at5820           -            335  3.2e-121  402.9   2.0   1   1  4.7e-124  3.8e-121  402.7   2.0     1   333     1   348     1   350 0.94 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 7557at5820           -            335   2.5e-08   31.8   0.5   1   2      0.21   1.7e+02   -0.5   0.2   226   268   402   443   393   456 0.74 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 7557at5820           -            335   2.5e-08   31.8   0.5   2   2   2.1e-10   1.7e-07   29.1   0.0    63   162   457   566   443   570 0.73 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 7557at5820           -            335   1.7e-06   25.8   1.6   1   3   2.8e-08   2.2e-05   22.1   0.0    65   101   226   262   191   275 0.85 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 7557at5820           -            335   1.7e-06   25.8   1.6   2   3      0.14   1.1e+02    0.1   0.1    96   145   327   379   320   397 0.70 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 7557at5820           -            335   1.7e-06   25.8   1.6   3   3     0.096        77    0.6   0.5   259   312   382   437   337   447 0.64 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 7557at5820           -            335   4.8e-06   24.3   0.3   1   2       1.6   1.3e+03   -3.4   0.0    10    30    21    41    16    52 0.76 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 7557at5820           -            335   4.8e-06   24.3   0.3   2   2   1.4e-08   1.1e-05   23.1   0.1    63   147   172   261   167   350 0.83 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 7557at5820           -            335   0.00087   16.9   0.5   1   2      0.53   4.3e+02   -1.8   0.0   163   163   251   251   216   287 0.54 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 7557at5820           -            335   0.00087   16.9   0.5   2   2   3.3e-06    0.0026   15.3   0.1    53   117   312   377   305   390 0.83 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 7557at5820           -            335    0.0062   14.1   0.0   1   1   1.5e-05     0.012   13.2   0.0    64   151   408   499   399   508 0.86 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 7557at5820           -            335    0.0084   13.7   0.0   1   1   2.5e-05      0.02   12.4   0.0    63   145   106   195   102   211 0.67 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7557at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:03 2026
# [ok]
