#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   1  30    1e-164  6.7e-161  535.4  19.6     1   249     1   249     1   285 0.96 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   2  30   1.2e-10     8e-07   24.0  11.4   238   286   288   341   273   348 0.85 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   3  30   9.7e-31   6.3e-27   90.7   0.1   278   354   374   452   361   456 0.91 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   4  30   0.00081       5.3    1.3   0.0   347   368   477   498   470   515 0.87 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   5  30    7e-147  4.6e-143  476.2  15.8   417   646   651   880   634   890 0.97 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   6  30  1.3e-239  8.6e-236  784.0  40.5   647  1060   939  1380   936  1430 0.92 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   7  30   0.00078         5    1.4   4.2  1051  1101  1441  1505  1424  1525 0.69 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   8  30   4.9e-54   3.2e-50  168.0  18.5  1093  1219  1566  1691  1532  1701 0.87 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3   9  30   2.2e-05      0.14    6.5   0.0  1215  1247  1872  1905  1865  1912 0.81 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3  10  30   9.9e-46   6.4e-42  140.5   9.3  1250  1341  2064  2160  2023  2183 0.81 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721922.1         -           7261 18at5820             -           4644         0 7630.6 573.3  11  30   8.8e-50   5.7e-46  153.9   2.7  1340  1444  2198  2314  2185  2323 0.87 | transcript=PVPAM_120015600_t1 | gene=PVPAM_120015600 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:445076-466861(+) | protein_length=7261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
