#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717776.1         -            262 11182at5820          -            184  1.1e-123  408.3   6.3   1   1    2e-126  1.3e-123  408.1   6.3     1   184    78   262    78   262 0.99 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 11182at5820          -            184   2.1e-50  169.5   0.8   1   1   3.5e-53   2.3e-50  169.4   0.8    15   183     3   169     1   170 0.89 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720440.1         -            193 11182at5820          -            184   1.6e-43  147.1   1.1   1   1   3.1e-46     2e-43  146.7   1.1    18   160    31   174    20   185 0.92 | transcript=PVPAM_090020500_t1 | gene=PVPAM_090020500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=CASCJQ010000009:743151-744335(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 11182at5820          -            184     1e-35  121.6   1.0   1   1   1.9e-38   1.3e-35  121.3   1.0    14   182     4   172     1   174 0.89 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720446.1         -            167 11182at5820          -            184   2.7e-27   94.2   0.5   1   1   5.8e-30   3.7e-27   93.7   0.5    29   156     9   130     1   152 0.88 | transcript=PVPAM_090021100_t1 | gene=PVPAM_090021100 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:764777-766319(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 11182at5820          -            184   1.1e-26   92.2   3.9   1   2      0.25   1.6e+02    0.4   0.1     4    33   116   145   115   164 0.86 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 11182at5820          -            184   1.1e-26   92.2   3.9   2   2   2.4e-29   1.5e-26   91.7   0.7    29   156   591   711   583   733 0.86 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720848.1         -            203 11182at5820          -            184   1.4e-25   88.6   0.3   1   1   3.4e-28   2.2e-25   87.9   0.3    29   155    54   173    48   198 0.85 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723496.1         -            276 11182at5820          -            184   5.1e-25   86.8   3.8   1   1   1.2e-27   7.4e-25   86.2   3.8    16   182    62   222    53   224 0.90 | transcript=PVPAM_140041900_t1 | gene=PVPAM_140041900 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000014:1573079-1573909(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 11182at5820          -            184   2.1e-12   45.7   1.0   1   1     2e-13   1.3e-10   39.8   1.0    20   183     9   194     3   195 0.75 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722906.1         -            433 11182at5820          -            184   1.5e-10   39.6   1.3   1   1   4.2e-13   2.7e-10   38.8   1.3    29   159    21   146    16   170 0.81 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
