#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720988.1         -           1381 2594at5820           -           1171         0 1351.0  29.0   1   1         0         0 1346.8  29.0     6  1170    11  1380     9  1381 0.85 | transcript=PVPAM_100025600_t1 | gene=PVPAM_100025600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:901429-905574(-) | protein_length=1381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   1   7   5.6e-06    0.0033   13.7   7.7   255   295    32    72    18    81 0.91 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   2   7   4.5e-09   2.6e-06   23.9   9.8   257   296    80   119    73   126 0.91 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   3   7   3.6e-09   2.1e-06   24.3   7.7   257   296   103   142   103   148 0.93 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   4   7   1.7e-11   9.8e-09   32.0  27.6   217   304   126   224   125   225 0.90 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   5   7   9.9e-11   5.8e-08   29.4   8.0   257   301   223   267   221   268 0.94 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   6   7   5.1e-11     3e-08   30.4   7.5   256   309   268   322   265   328 0.89 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 2594at5820           -           1171   1.7e-31  107.4  89.8   7   7   1.1e-07   6.7e-05   19.3   0.7   257   316   292   352   292   360 0.89 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 2594at5820           -           1171   1.8e-08   31.1  51.4   1   3      0.35   2.1e+02   -2.2   1.3   883   911    62    89    10   145 0.51 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 2594at5820           -           1171   1.8e-08   31.1  51.4   2   3   4.1e-09   2.4e-06   24.1  10.2   217   295   181   242   166   246 0.93 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 2594at5820           -           1171   1.8e-08   31.1  51.4   3   3     3e-07   0.00018   17.9  24.2   122   242   249   368   243   376 0.72 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
