#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722517.1         -           1626 585at5820            -           1351         0 2649.3  99.5   1   3         0         0 2378.1  55.0     2  1156    18  1247    17  1251 0.96 | transcript=PVPAM_120075600_t1 | gene=PVPAM_120075600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000012:2957535-2962415(+) | protein_length=1626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722517.1         -           1626 585at5820            -           1351         0 2649.3  99.5   2   3   1.9e-07   0.00031   16.8   0.9  1170  1206  1344  1380  1310  1394 0.86 | transcript=PVPAM_120075600_t1 | gene=PVPAM_120075600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000012:2957535-2962415(+) | protein_length=1626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722517.1         -           1626 585at5820            -           1351         0 2649.3  99.5   3   3   1.7e-80   2.8e-77  258.9  28.4  1188  1351  1435  1623  1426  1623 0.88 | transcript=PVPAM_120075600_t1 | gene=PVPAM_120075600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000012:2957535-2962415(+) | protein_length=1626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722326.1         -           1607 585at5820            -           1351    2e-131  438.2  26.1   1   3  1.3e-134    2e-131  438.2  26.1     7  1077    27  1113    20  1185 0.83 | transcript=PVPAM_120056300_t1 | gene=PVPAM_120056300 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000012:2071470-2076441(-) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722326.1         -           1607 585at5820            -           1351    2e-131  438.2  26.1   2   3     0.001       1.6    4.5   0.5   971  1088  1219  1339  1188  1364 0.75 | transcript=PVPAM_120056300_t1 | gene=PVPAM_120056300 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000012:2071470-2076441(-) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722326.1         -           1607 585at5820            -           1351    2e-131  438.2  26.1   3   3       1.1   1.8e+03   -5.6  19.5  1248  1328  1495  1582  1463  1590 0.73 | transcript=PVPAM_120056300_t1 | gene=PVPAM_120056300 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000012:2071470-2076441(-) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 585at5820            -           1351   2.4e-18   63.6  17.2   1   5   3.3e-05     0.053    9.5   0.1   753   813   312   379   300   385 0.75 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 585at5820            -           1351   2.4e-18   63.6  17.2   2   5      0.02        32    0.2   1.1   630   671   461   503   458   508 0.84 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 585at5820            -           1351   2.4e-18   63.6  17.2   3   5    0.0001      0.16    7.8   0.1   751   814   716   784   692   810 0.68 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 585at5820            -           1351   2.4e-18   63.6  17.2   4   5   1.5e-05     0.025   10.5   0.1   730   783  1091  1150  1073  1178 0.78 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 585at5820            -           1351   2.4e-18   63.6  17.2   5   5   1.5e-15   2.5e-12   43.7   0.1   746   814  1221  1293  1208  1300 0.86 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717904.1         -           1087 585at5820            -           1351   0.00023   17.2   0.2   1   1   2.2e-07   0.00035   16.7   0.2   757   813   786   844   728   848 0.79 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/585at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/585at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/585at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:50 2026
# [ok]
