#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722264.1         -           1071 1552at5820           -            902         0 1844.9  36.4   1   3  4.9e-303  4.5e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1552at5820           -            902         0 1844.9  36.4   2   3  8.8e-166  8.1e-163  542.1   1.1   440   705   508   796   505   801 0.93 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1552at5820           -            902         0 1844.9  36.4   3   3   4.8e-98   4.4e-95  318.0   9.4   701   902   839  1071   833  1071 0.93 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1552at5820           -            902   1.6e-35  120.9  23.6   1   2   7.5e-12   6.9e-09   32.8   1.8    16   203    76   268    66   277 0.83 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1552at5820           -            902   1.6e-35  120.9  23.6   2   2   1.9e-28   1.8e-25   87.7  14.3   250   736   397   906   392   915 0.73 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 1552at5820           -            902     4e-20   70.0   0.2   1   4   2.7e-18   2.5e-15   54.1   0.0    30   200   258   423   228   430 0.85 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 1552at5820           -            902     4e-20   70.0   0.2   2   4      0.27   2.4e+02   -2.1   0.0   397   436   700   739   660   740 0.78 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 1552at5820           -            902     4e-20   70.0   0.2   3   4   1.7e-05     0.016   11.8   0.0   464   524   813   877   799   881 0.75 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 1552at5820           -            902     4e-20   70.0   0.2   4   4       0.2   1.9e+02   -1.7   0.0   530   553   920   943   917   957 0.86 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1552at5820           -            902   2.2e-16   57.6  13.8   1   6     1e-06   0.00096   15.8   0.2    39   101   190   252   161   257 0.84 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1552at5820           -            902   2.2e-16   57.6  13.8   2   6      0.41   3.8e+02   -2.7   0.1   141   192   364   415   331   421 0.77 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1552at5820           -            902   2.2e-16   57.6  13.8   3   6    0.0043         4    3.8   0.0   275   308   589   622   565   643 0.82 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1552at5820           -            902   2.2e-16   57.6  13.8   4   6   4.8e-06    0.0045   13.6   0.4   377   437   796   857   782   869 0.77 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1552at5820           -            902   2.2e-16   57.6  13.8   5   6      0.17   1.6e+02   -1.5   0.1   540   592   937   989   928   992 0.91 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1552at5820           -            902   2.2e-16   57.6  13.8   6   6   5.6e-11   5.1e-08   29.9   0.1   524   734  1109  1355  1099  1380 0.73 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1552at5820           -            902   4.8e-08   30.0   3.0   1   3   2.9e-07   0.00027   17.6   0.6    36   197   138   282   131   298 0.79 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1552at5820           -            902   4.8e-08   30.0   3.0   2   3      0.02        19    1.6   0.0   415   433   588   606   575   611 0.89 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1552at5820           -            902   4.8e-08   30.0   3.0   3   3   0.00054       0.5    6.8   0.0   541   561   904   924   897   937 0.86 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1552at5820           -            902     2e-07   27.9  21.1   1   5      0.11     1e+02   -0.9   0.2   814   872    77   138    67   166 0.68 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1552at5820           -            902     2e-07   27.9  21.1   2   5   2.3e-06    0.0021   14.6   1.8     5    93   188   278   184   340 0.77 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
