#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   1  14   9.5e-23   6.8e-20   69.2   4.4     1    78     1    79     1    99 0.78 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   2  14  4.4e-135  3.1e-132  441.3  24.6    19   285    98   372    81   386 0.84 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   3  14   0.00016      0.11    8.8   5.1   280   323   642   685   609   751 0.72 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   4  14     3e-15   2.2e-12   44.3  15.1   312   370   875   934   832   954 0.78 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   5  14   2.5e-05     0.018   11.5   5.2   349   402   949  1003   933  1042 0.77 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   6  14   1.5e-71   1.1e-68  230.8   7.3   365   519  1081  1242  1059  1266 0.81 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   7  14   3.8e-67   2.7e-64  216.2  13.9   513   652  1334  1475  1319  1547 0.80 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   8  14         9   6.5e+03  -14.2  14.5   845   978  1688  1833  1679  1853 0.59 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8   9  14   1.8e-78   1.3e-75  253.8   3.2   680   842  1892  2063  1864  2077 0.85 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8  10  14    0.0081       5.8    3.1   0.0   822   842  2101  2121  2097  2131 0.83 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8  11  14    0.0012      0.86    5.9   1.1   841   866  2192  2217  2187  2264 0.88 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8  12  14   2.7e-23   1.9e-20   71.0   6.2   868   934  2280  2350  2267  2368 0.86 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8  13  14   2.4e-58   1.8e-55  187.1   3.7   919  1054  2432  2580  2418  2584 0.85 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 470at5820            -           1231         0 1748.3 220.8  14  14   6.6e-87   4.8e-84  281.7  24.0  1055  1231  2616  2819  2612  2819 0.87 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 470at5820            -           1231   2.6e-12   44.1   9.1   1   2   3.6e-10   2.6e-07   27.5   0.3    80   150   876   947   837   955 0.80 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 470at5820            -           1231   2.6e-12   44.1   9.1   2   2   8.9e-08   6.4e-05   19.6   3.2    83   163  1885  1964  1847  1973 0.69 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 470at5820            -           1231     3e-12   43.8   3.1   1   3         9   6.5e+03   -7.4   4.1   615   647   183   216   132   246 0.42 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 470at5820            -           1231     3e-12   43.8   3.1   2   3     2e-11   1.4e-08   31.6   0.1    94   152   999  1056   909  1068 0.87 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
