#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722452.1         -            838 3489at5820           -            618         0 1073.3  99.1   1   5   2.3e-88   1.8e-85  286.2  18.3     1   157     1   165     1   171 0.95 | transcript=PVPAM_120068900_t1 | gene=PVPAM_120068900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000012:2616159-2619053(+) | protein_length=838 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722452.1         -            838 3489at5820           -            618         0 1073.3  99.1   2   5   1.7e-81   1.4e-78  263.5   2.4   156   306   197   358   190   366 0.93 | transcript=PVPAM_120068900_t1 | gene=PVPAM_120068900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000012:2616159-2619053(+) | protein_length=838 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722452.1         -            838 3489at5820           -            618         0 1073.3  99.1   3   5   5.8e-71   4.6e-68  228.7  38.6   300   468   400   599   383   613 0.85 | transcript=PVPAM_120068900_t1 | gene=PVPAM_120068900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000012:2616159-2619053(+) | protein_length=838 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722452.1         -            838 3489at5820           -            618         0 1073.3  99.1   4   5     5e-35   4.1e-32  110.0   5.9   440   519   611   690   591   701 0.85 | transcript=PVPAM_120068900_t1 | gene=PVPAM_120068900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000012:2616159-2619053(+) | protein_length=838 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722452.1         -            838 3489at5820           -            618         0 1073.3  99.1   5   5   3.4e-61   2.8e-58  196.5   4.6   512   618   719   838   704   838 0.87 | transcript=PVPAM_120068900_t1 | gene=PVPAM_120068900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000012:2616159-2619053(+) | protein_length=838 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3489at5820           -            618   9.3e-07   26.3   2.0   1   4   5.6e-05     0.045   10.8   0.0   334   388    87   142    49   153 0.80 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3489at5820           -            618   9.3e-07   26.3   2.0   2   4     0.036        29    1.5   0.0   217   253   152   189   143   199 0.69 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3489at5820           -            618   9.3e-07   26.3   2.0   3   4   5.9e-05     0.048   10.7   0.0    64   134   203   271   191   289 0.84 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3489at5820           -            618   9.3e-07   26.3   2.0   4   4      0.19   1.5e+02   -0.9   0.0    67    90   294   317   284   321 0.84 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 3489at5820           -            618   1.2e-06   26.0   3.8   1   3         8   6.5e+03  -23.5  30.6   287   466    44   247    16   311 0.55 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 3489at5820           -            618   1.2e-06   26.0   3.8   2   3   4.2e-06    0.0034   14.5   0.1   301   393   381   474   349   498 0.77 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 3489at5820           -            618   1.2e-06   26.0   3.8   3   3   5.2e-08   4.2e-05   20.8   0.8    54   142   517   605   499   622 0.88 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 3489at5820           -            618   1.2e-06   25.9   3.8   1   3         8   6.5e+03  -25.6  29.8   304   331    65    94    16   320 0.48 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
