#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722304.1         -            583 7466at5820           -            378  3.1e-169  561.6  56.4   1   6   4.3e-09   1.5e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 7466at5820           -            378  3.1e-169  561.6  56.4   2   6   0.00073      0.26    8.9   0.0    46   107    88   155    85   156 0.71 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 7466at5820           -            378  3.1e-169  561.6  56.4   3   6    0.0011      0.38    8.4   3.4    49    83   138   172   130   181 0.85 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 7466at5820           -            378  3.1e-169  561.6  56.4   4   6   1.2e-39   4.4e-37  126.7  19.0    64   180   212   328   186   336 0.84 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 7466at5820           -            378  3.1e-169  561.6  56.4   5   6   3.8e-99   1.4e-96  322.5   5.2   166   330   338   508   332   517 0.95 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 7466at5820           -            378  3.1e-169  561.6  56.4   6   6   5.3e-30   1.9e-27   94.9   1.3   329   378   534   583   528   583 0.97 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720437.1         -            495 7466at5820           -            378     2e-63  213.3  21.7   1   1   3.5e-64   1.3e-61  207.5  20.1    80   376   162   490   138   492 0.83 | transcript=PVPAM_090020200_t1 | gene=PVPAM_090020200 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:733568-735055(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 7466at5820           -            378   9.8e-62  207.8  19.8   1   1   1.6e-63   5.7e-61  205.3  19.8    76   374   152   482   121   486 0.82 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720436.1         -            484 7466at5820           -            378   4.5e-61  205.6  22.0   1   1   6.5e-63   2.3e-60  203.3  22.0    83   362   158   468   133   482 0.85 | transcript=PVPAM_090020100_t1 | gene=PVPAM_090020100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:729233-730687(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723814.1         -            611 7466at5820           -            378   5.6e-16   57.2   9.0   1   1   3.7e-16   1.3e-13   49.4   9.0   181   359   312   543   302   552 0.68 | transcript=PVPAM_140073700_t1 | gene=PVPAM_140073700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=CASCJQ010000014:2896289-2899508(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720450.1         -            690 7466at5820           -            378   5.2e-13   47.4   9.6   1   3         3   1.1e+03   -3.0   0.0   294   324    88   118    72   124 0.74 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
