#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722519.1         -            506 5913at5820           -            427  1.9e-254  842.6  27.2   1   2    1e-256  1.1e-253  840.1  24.2     1   412     1   462     1   470 0.95 | transcript=PVPAM_120075800_t1 | gene=PVPAM_120075800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=CASCJQ010000012:2969619-2971139(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722519.1         -            506 5913at5820           -            427  1.9e-254  842.6  27.2   2   2    0.0089       9.6    3.4   0.0   416   427   495   506   481   506 0.86 | transcript=PVPAM_120075800_t1 | gene=PVPAM_120075800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=CASCJQ010000012:2969619-2971139(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719983.1         -            445 5913at5820           -            427   3.9e-58  195.8   0.0   1   1   6.4e-61   6.9e-58  195.0   0.0     2   390     1   426     1   432 0.82 | transcript=PVPAM_080020500_t1 | gene=PVPAM_080020500 | organism=Plasmodium_vivax_PAM | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=CASCJQ010000008:731259-733456(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717784.1         -            452 5913at5820           -            427     4e-51  172.7  11.6   1   1   5.7e-53   6.1e-50  168.8  11.6     1   399     1   451     1   452 0.81 | transcript=PVPAM_010029800_t1 | gene=PVPAM_010029800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=CASCJQ010000001:1105182-1106540(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719476.1         -            453 5913at5820           -            427   7.2e-50  168.6   0.0   1   1   1.1e-52   1.2e-49  167.8   0.0     2   386     1   432     1   440 0.80 | transcript=PVPAM_070009000_t1 | gene=PVPAM_070009000 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000007:232315-234407(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718992.1         -            450 5913at5820           -            427     3e-47  159.9   0.0   1   1   4.6e-50   4.9e-47  159.2   0.0     2   386     1   432     1   440 0.79 | transcript=PVPAM_050038400_t1 | gene=PVPAM_050038400 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000005:1428077-1429826(+) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719787.1         -            668 5913at5820           -            427     2e-11   41.9  15.2   1   3   1.8e-05      0.02   12.3   0.1     5    35     3    32     1    55 0.72 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719787.1         -            668 5913at5820           -            427     2e-11   41.9  15.2   2   3   4.2e-11   4.6e-08   30.8   8.9    75   269   210   433   204   438 0.67 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719787.1         -            668 5913at5820           -            427     2e-11   41.9  15.2   3   3      0.15   1.6e+02   -0.7   0.0   328   367   601   641   591   661 0.69 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5913at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:05 2026
# [ok]
