#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718746.1         -            482 5565at5820           -            428  1.5e-263  872.4   7.6   1   1  2.1e-266  1.7e-263  872.2   7.6     1   428    24   482    24   482 0.96 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 5565at5820           -            428   3.5e-29  100.2   8.0   1   2   6.5e-09   5.2e-06   23.8   0.8     8   138    28   175    24   187 0.74 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722154.1         -            543 5565at5820           -            428   3.5e-29  100.2   8.0   2   2   5.5e-26   4.4e-23   80.1   1.3   279   419   377   524   289   532 0.85 | transcript=PVPAM_120039200_t1 | gene=PVPAM_120039200 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000012:1351963-1354139(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 5565at5820           -            428   3.1e-17   60.8   6.0   1   3     2e-07   0.00016   18.9   0.7   318   408    44   132    28   154 0.69 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 5565at5820           -            428   3.1e-17   60.8   6.0   2   3   1.1e-14   9.1e-12   42.8   0.2   291   414   152   280   136   291 0.81 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 5565at5820           -            428   3.1e-17   60.8   6.0   3   3     0.076        61    0.5   0.0    75   111   357   398   346   412 0.73 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 5565at5820           -            428   5.7e-13   46.8   0.1   1   1   9.4e-16   7.6e-13   46.4   0.1   326   409    49   130    37   141 0.86 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 5565at5820           -            428   9.9e-11   39.4   0.2   1   1   1.2e-13     1e-10   39.4   0.2    15   389     9    83     1   102 0.49 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720559.1         -            424 5565at5820           -            428   6.7e-06   23.5   3.1   1   1   1.3e-08     1e-05   22.8   3.1    13   206    34   258    27   298 0.71 | transcript=PVPAM_090032500_t1 | gene=PVPAM_090032500 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1239892-1243411(+) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719696.1         -            133 5565at5820           -            428   3.2e-05   21.2   0.0   1   1   4.5e-08   3.6e-05   21.1   0.0   319   388    38   105    28   123 0.85 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 5565at5820           -            428   0.00013   19.3   0.1   1   1   1.9e-07   0.00015   19.0   0.1    18    87    64   135    48   151 0.84 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5565at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5565at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5565at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:20 2026
# [ok]
