#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   1  10   6.3e-24   4.1e-20   69.9   0.3     1    51    10    60    10    63 0.96 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   2  10    0.0071        46    0.3   0.0    50    62    95   107    93   117 0.90 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   3  10   4.7e-66     3e-62  209.3   4.3    61   209   153   315   147   328 0.88 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   4  10     4e-39   2.6e-35  120.2   0.0   215   290   418   493   405   497 0.92 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   5  10   2.8e-11   1.8e-07   28.1   0.0   289   320   527   558   523   562 0.94 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   6  10   2.6e-29   1.7e-25   87.7   0.7   321   376   610   665   601   674 0.94 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   7  10   1.6e-22   1.1e-18   65.3   0.7   375   435   686   747   677   751 0.92 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   8  10  2.3e-139  1.5e-135  451.9  10.2   423   732   851  1207   826  1215 0.85 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3   9  10   0.00064       4.2    3.7   0.0   727   748  1309  1330  1298  1343 0.86 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722757.1         -           1540 1106at5820           -            898         0 1247.0  74.3  10  10     1e-72   6.6e-69  231.4  18.2   746   898  1362  1523  1348  1523 0.96 | transcript=PVPAM_130025800_t1 | gene=PVPAM_130025800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:939220-943842(-) | protein_length=1540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1106at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1106at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1106at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:18 2026
# [ok]
