#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719800.1         -            192 12097at5820          -            172   5.9e-98  324.3   3.6   1   1  2.8e-100   1.1e-97  323.4   3.6     1   172     1   190     1   190 0.95 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 12097at5820          -            172   9.9e-35  118.5   7.1   1   2   1.7e-25   6.7e-23   80.0   0.6     5   106   222   324   218   358 0.87 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 12097at5820          -            172   9.9e-35  118.5   7.1   2   2   8.7e-14   3.5e-11   41.8   0.7   107   171   433   501   381   502 0.86 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12097at5820          -            172   1.3e-12   46.5   0.5   1   3     0.022       8.7    4.7   0.1    25   121   103   201    83   204 0.71 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12097at5820          -            172   1.3e-12   46.5   0.5   2   3   2.4e-06   0.00095   17.6   0.0    31   105   204   285   200   319 0.79 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12097at5820          -            172   1.3e-12   46.5   0.5   3   3   2.1e-07   8.5e-05   21.0   0.0    30    96   388   458   367   485 0.81 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 12097at5820          -            172     1e-11   43.5  24.5   1   4       1.2     5e+02   -1.0   0.3    67   104    15    54     6    73 0.62 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 12097at5820          -            172     1e-11   43.5  24.5   2   4   1.7e-09   6.8e-07   27.9   2.7    12   139    88   216    81   220 0.80 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 12097at5820          -            172     1e-11   43.5  24.5   3   4   3.6e-05     0.014   13.8   5.7    32    95   202   271   200   318 0.76 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 12097at5820          -            172     1e-11   43.5  24.5   4   4   1.2e-07     5e-05   21.8   0.3    29    96   413   484   400   501 0.82 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 12097at5820          -            172   1.2e-09   36.9   2.4   1   2    0.0063       2.5    6.5   0.1     9    51    19    57    10   104 0.68 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
