#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720939.1         -            739 6067at5820           -            491  6.4e-206  683.5  59.9   1   5  3.8e-165  3.5e-162  539.2  21.9     2   383    19   439    18   443 0.82 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720939.1         -            739 6067at5820           -            491  6.4e-206  683.5  59.9   2   5         7   6.5e+03   -8.2  17.7   324   374   433   486   429   501 0.55 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720939.1         -            739 6067at5820           -            491  6.4e-206  683.5  59.9   3   5   3.9e-15   3.6e-12   44.4   4.0   328   408   496   578   491   584 0.86 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720939.1         -            739 6067at5820           -            491  6.4e-206  683.5  59.9   4   5   8.1e-11   7.5e-08   30.2   0.0   400   440   611   651   602   655 0.89 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720939.1         -            739 6067at5820           -            491  6.4e-206  683.5  59.9   5   5   3.9e-29   3.6e-26   90.6   0.4   442   491   690   739   686   739 0.96 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719778.1         -            208 6067at5820           -            491     0.084   10.2   8.2   1   1   0.00012      0.11    9.9   8.2   318   454    65   202    56   205 0.59 | transcript=PVPAM_070039200_t1 | gene=PVPAM_070039200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1425758-1426384(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723091.1         -            132 6067at5820           -            491       1.1    6.6  11.7   1   1    0.0014       1.3    6.3  11.7   314   400    18   102     3   124 0.47 | transcript=PVPAM_130059700_t1 | gene=PVPAM_130059700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2418230-2418763(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 6067at5820           -            491       1.5    6.1  14.3   1   1    0.0021       1.9    5.8  14.3   307   390    35   118    29   135 0.59 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721488.1         -            145 6067at5820           -            491       1.6    6.0   8.0   1   1     0.002       1.8    5.8   8.0   337   381    11    55     2    85 0.48 | transcript=PVPAM_110039300_t1 | gene=PVPAM_110039300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1430926-1431363(+) | protein_length=145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 6067at5820           -            491       4.8    4.4  22.5   1   2   0.00015      0.14    9.5  16.1   306   374    92   160    78   178 0.44 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 6067at5820           -            491       4.8    4.4  22.5   2   2      0.68   6.3e+02   -2.6   0.4   319   339   300   320   264   335 0.43 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
