#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719156.1         -            725 3894at5820           -            478  3.7e-249  826.2  21.4   1   3   1.4e-17   1.3e-14   52.7   9.9     1    69     6    93     6    99 0.78 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 3894at5820           -            478  3.7e-249  826.2  21.4   2   3   1.7e-06    0.0015   16.2   0.1    62    96   151   198   135   206 0.79 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 3894at5820           -            478  3.7e-249  826.2  21.4   3   3  2.7e-232  2.5e-229  760.8   0.7    97   478   314   721   307   721 0.94 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 3894at5820           -            478   1.6e-06   26.0   8.3   1   4      0.13   1.2e+02    0.1   0.1   392   422   250   279   232   298 0.77 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 3894at5820           -            478   1.6e-06   26.0   8.3   2   4   6.2e-05     0.057   11.0   0.0   378   453   424   502   420   512 0.79 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 3894at5820           -            478   1.6e-06   26.0   8.3   3   4     3e-06    0.0027   15.4   1.6   385   431   516   562   506   591 0.74 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 3894at5820           -            478   1.6e-06   26.0   8.3   4   4     0.056        51    1.3   0.2   385   437   559   615   547   632 0.74 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3894at5820           -            478   1.2e-05   23.2   5.0   1   3   0.00042      0.39    8.3   0.1   398   456    82   145    67   153 0.78 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3894at5820           -            478   1.2e-05   23.2   5.0   2   3     1e-05    0.0095   13.6   0.1   380   454   151   230   143   240 0.81 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3894at5820           -            478   1.2e-05   23.2   5.0   3   3     0.021        19    2.7   0.1   203   452   291   316   245   321 0.53 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 3894at5820           -            478   1.2e-05   23.2  11.1   1   3     0.025        23    2.4   0.0   427   453    89   115    62   124 0.84 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 3894at5820           -            478   1.2e-05   23.2  11.1   2   3   7.2e-06    0.0066   14.1   2.5   374   453   206   288   192   303 0.74 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 3894at5820           -            478   1.2e-05   23.2  11.1   3   3   0.00011     0.097   10.3   0.4   391   454   316   388   310   397 0.73 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 3894at5820           -            478   4.1e-05   21.4   2.4   1   4    0.0032       2.9    5.4   0.0   374   413   195   234   191   252 0.90 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 3894at5820           -            478   4.1e-05   21.4   2.4   2   4       1.1     1e+03   -3.0   0.0   388   414   272   301   270   306 0.70 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 3894at5820           -            478   4.1e-05   21.4   2.4   3   4     0.002       1.8    6.1   0.5   383   456   325   404   317   410 0.68 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 3894at5820           -            478   4.1e-05   21.4   2.4   4   4   0.00091      0.84    7.2   0.0   384   408   425   449   412   457 0.76 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 3894at5820           -            478   4.8e-05   21.2   2.1   1   4     0.004       3.7    5.1   0.0   212   283   220   297   189   317 0.76 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 3894at5820           -            478   4.8e-05   21.2   2.1   2   4     0.009       8.3    3.9   0.0   174   236   357   423   341   433 0.75 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 3894at5820           -            478   4.8e-05   21.2   2.1   3   4    0.0014       1.3    6.6   0.0   375   419   420   464   416   485 0.83 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 3894at5820           -            478   4.8e-05   21.2   2.1   4   4     0.014        13    3.3   0.0   375   421   486   532   480   533 0.91 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3894at5820           -            478   0.00043   18.0   1.3   1   3      0.58   5.3e+02   -2.1   0.0   433   454   131   152   105   215 0.60 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3894at5820           -            478   0.00043   18.0   1.3   2   3   4.9e-06    0.0045   14.7   0.0   399   465   508   578   490   584 0.82 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3894at5820           -            478   0.00043   18.0   1.3   3   3       0.1        96    0.4   0.1   425   452   632   659   613   660 0.90 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3894at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3894at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3894at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:15 2026
# [ok]
