#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720377.1         -            549 5900at5820           -            459  4.9e-245  812.5  46.9   1   2   1.1e-51     3e-49  167.0   1.8     1    88     6   100     6   105 0.94 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 5900at5820           -            459  4.9e-245  812.5  46.9   2   2  7.2e-198  1.9e-195  649.0  37.7    88   459   120   540   115   540 0.93 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 5900at5820           -            459   5.1e-18   64.1   2.8   1   1   3.7e-20     1e-17   63.1   2.8    22   110    46   142    40   179 0.82 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 5900at5820           -            459   1.4e-17   62.6   1.6   1   1   8.5e-20   2.3e-17   61.9   1.6    21    95    81   161    74   193 0.77 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 5900at5820           -            459   3.3e-17   61.4   0.4   1   1   1.5e-19   4.2e-17   61.1   0.4    20    86     2    74     1   152 0.86 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 5900at5820           -            459   6.5e-17   60.4   1.0   1   2   2.4e-19   6.5e-17   60.4   1.0    22    86    27    90    23   105 0.95 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 5900at5820           -            459   6.5e-17   60.4   1.0   2   2       1.2   3.2e+02   -1.2   0.2   227   266   348   387   330   401 0.46 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 5900at5820           -            459   4.2e-16   57.7   0.7   1   1   2.3e-18   6.2e-16   57.2   0.7    19   119    40   147    37   176 0.78 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 5900at5820           -            459   4.2e-15   54.5   0.1   1   1   2.2e-17     6e-15   53.9   0.1    22    85    79   144    74   213 0.84 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 5900at5820           -            459   9.9e-15   53.2   1.2   1   1   4.6e-17   1.3e-14   52.9   1.2    21   110     5    98     1   121 0.85 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 5900at5820           -            459     4e-14   51.2   0.8   1   1   2.4e-16   6.6e-14   50.5   0.8     6    89    31   122     3   133 0.87 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
