#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   1   9   3.1e-57   3.4e-54  182.8   0.0     1   162     1   206     1   214 0.81 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   2   9   9.6e-48     1e-44  151.4   0.0   169   266   261   367   250   374 0.90 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   3   9   4.2e-60   4.5e-57  192.3   0.0   270   398   455   592   450   602 0.92 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   4   9   9.3e-25     1e-21   75.3   0.1   396   448   618   670   615   682 0.90 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   5   9   2.4e-66   2.6e-63  213.0   4.1   455   593   715   878   710   880 0.92 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   6   9   2.6e-37   2.7e-34  116.9   1.1   591   719   957  1120   952  1126 0.83 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   7   9      0.61   6.6e+02   -3.5   0.0   716   735  1143  1163  1132  1163 0.80 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   8   9  6.1e-111  6.6e-108  360.6   2.3   735   938  1275  1482  1267  1501 0.96 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   9   9   3.2e-28   3.4e-25   86.8   0.2   934   992  1543  1605  1538  1605 0.92 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 1282at5820           -            992   2.2e-11   41.1   0.0   1   4   3.6e-06    0.0039   13.8   0.0   340   412    11    88     2   102 0.74 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 1282at5820           -            992   2.2e-11   41.1   0.0   2   4   1.8e-07   0.00019   18.1   0.0   475   541   106   172   101   183 0.83 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 1282at5820           -            992   2.2e-11   41.1   0.0   3   4     0.021        22    1.3   0.0   368   411   206   257   201   264 0.75 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 1282at5820           -            992   2.2e-11   41.1   0.0   4   4     0.015        16    1.8   0.0   309   329   297   317   267   332 0.74 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 1282at5820           -            992   8.1e-08   29.3  13.0   1   3   3.8e-08     4e-05   20.4   1.5   314   406    89   182    84   188 0.81 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 1282at5820           -            992   8.1e-08   29.3  13.0   2   3   0.00041      0.45    7.0   0.2   317   397   198   279   185   285 0.77 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 1282at5820           -            992   8.1e-08   29.3  13.0   3   3   0.00012      0.13    8.7   0.5   496   569   340   416   331   472 0.79 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 1282at5820           -            992   8.2e-08   29.3   8.6   1   3     2e-05     0.022   11.3   0.8   309   438   151   285   137   291 0.73 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 1282at5820           -            992   8.2e-08   29.3   8.6   2   3   4.5e-08   4.8e-05   20.1   0.2   365   413   324   380   294   385 0.72 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 1282at5820           -            992   8.2e-08   29.3   8.6   3   3      0.29   3.1e+02   -2.4   0.1   384   431   401   446   396   455 0.51 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 1282at5820           -            992   6.2e-07   26.4  20.4   1   2   7.8e-09   8.4e-06   22.6  15.6   309   568    85   380    72   384 0.64 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 1282at5820           -            992   6.2e-07   26.4  20.4   2   2      0.56     6e+02   -3.4   0.1   237   275   459   498   452   507 0.74 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 1282at5820           -            992    0.0042   13.7   3.3   1   3   6.7e-05     0.072    9.6   0.2   497   544  1428  1475  1416  1503 0.76 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
