#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719934.1         -           1247 1423at5820           -            976         0 1996.0  49.1   1   5   1.1e-08   6.2e-06   22.9   2.0     1    24     1    24     1    30 0.93 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1423at5820           -            976         0 1996.0  49.1   2   5   1.1e-60   6.4e-58  195.0   1.0    21   129    99   209    87   216 0.93 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1423at5820           -            976         0 1996.0  49.1   3   5  3.9e-273  2.3e-270  898.2  24.7   129   564   256   707   232   720 0.95 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1423at5820           -            976         0 1996.0  49.1   4   5   3.1e-89   1.8e-86  289.4   0.3   563   702   787   929   782   943 0.94 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1423at5820           -            976         0 1996.0  49.1   5   5  1.8e-184    1e-181  604.7   0.0   707   976   977  1247   967  1247 0.99 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 1423at5820           -            976  1.9e-149  497.9   0.7   1   1  1.1e-151  6.3e-149  496.2   0.7    84   921     3   801     1   810 0.93 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1423at5820           -            976   1.4e-47  160.8  52.5   1   4   3.8e-09   2.2e-06   24.4   0.2    93   167     7    73     2    85 0.79 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1423at5820           -            976   1.4e-47  160.8  52.5   2   4   7.2e-22   4.3e-19   66.4  31.9   192   476   173   492   164   505 0.80 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1423at5820           -            976   1.4e-47  160.8  52.5   3   4     2e-08   1.2e-05   21.9   1.8   548   661   699   810   688   828 0.88 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1423at5820           -            976   1.4e-47  160.8  52.5   4   4   9.7e-20   5.7e-17   59.4   0.2   686   953  1105  1374  1095  1382 0.76 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 1423at5820           -            976   8.6e-18   62.1   7.5   1   3   4.9e-06    0.0029   14.0   0.0    92   125   102   135    87   148 0.84 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
