#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719302.1         -            178 12431at5820          -            150   1.4e-92  305.6   3.9   1   1   6.2e-95   1.7e-92  305.3   3.9     1   150    11   176    11   176 0.96 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 12431at5820          -            150   2.3e-47  158.8   0.1   1   1   1.1e-49     3e-47  158.4   0.1     1   148    11   174    11   176 0.91 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 12431at5820          -            150   1.7e-35  120.3   1.9   1   1   9.1e-38   2.5e-35  119.7   1.9     5   149    14   175    11   176 0.87 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 12431at5820          -            150   1.1e-19   69.0   0.0   1   1     8e-22   2.2e-19   68.0   0.0     3   112    16   133    14   188 0.88 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721259.1         -            203 12431at5820          -            150   7.7e-12   43.5   2.7   1   2   3.8e-14   1.1e-11   43.1   1.7     6   111    25   146    21   160 0.74 | transcript=PVPAM_110016100_t1 | gene=PVPAM_110016100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000011:452607-453649(-) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721259.1         -            203 12431at5820          -            150   7.7e-12   43.5   2.7   2   2       1.1     3e+02   -0.6   0.0    15    62   151   200   146   203 0.71 | transcript=PVPAM_110016100_t1 | gene=PVPAM_110016100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000011:452607-453649(-) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 12431at5820          -            150   1.8e-11   42.3   1.9   1   1   9.1e-14   2.6e-11   41.8   1.9     8   148    11   168     5   170 0.73 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 12431at5820          -            150   4.1e-09   34.7   0.1   1   1   2.1e-11     6e-09   34.1   0.1     6   113    31   151    27   188 0.73 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 12431at5820          -            150   5.9e-09   34.2   3.1   1   1   3.1e-11   8.7e-09   33.6   3.1     9   111    10   124     5   165 0.78 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 12431at5820          -            150   6.9e-09   33.9   0.2   1   1   3.3e-11   9.3e-09   33.5   0.2     9   111    14   128    10   171 0.72 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719646.1         -            191 12431at5820          -            150     2e-08   32.4   0.0   1   1     1e-10   2.9e-08   31.9   0.0     8   149    23   177    15   178 0.78 | transcript=PVPAM_070026000_t1 | gene=PVPAM_070026000 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000007:932498-933855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
