#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720595.1         -            156 14831at5820          -            106   1.1e-37  126.9  11.0   1   2     6e-40   1.1e-37  126.9  11.0     1   101     1   112     1   117 0.79 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720595.1         -            156 14831at5820          -            106   1.1e-37  126.9  11.0   2   2       2.3   4.4e+02   -0.4  12.9    78   106   118   155   112   155 0.61 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14831at5820          -            106   8.9e-19   66.2   8.6   1   4   0.00031      0.06   12.1   0.0     4    67    16    85    13   101 0.85 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14831at5820          -            106   8.9e-19   66.2   8.6   2   4   1.4e-06   0.00026   19.6   2.1     6    80   106   185   102   195 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14831at5820          -            106   8.9e-19   66.2   8.6   3   4   2.2e-08   4.2e-06   25.4   0.2     5    85   194   278   191   290 0.80 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14831at5820          -            106   8.9e-19   66.2   8.6   4   4    0.0021       0.4    9.4   0.0     5    80   450   530   447   547 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14831at5820          -            106   1.1e-11   43.4  13.3   1   3   1.5e-11   2.8e-09   35.6   2.4     3    88    17   103    15   120 0.79 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14831at5820          -            106   1.1e-11   43.4  13.3   2   3      0.42        80    2.0   0.3     5    73   119   193   115   208 0.66 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14831at5820          -            106   1.1e-11   43.4  13.3   3   3   0.00018     0.035   12.8   0.4     5    75   210   287   205   300 0.79 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14831at5820          -            106   3.3e-11   41.8   6.1   1   2   1.1e-06   0.00022   19.9   0.2     2    71    18    93    17   108 0.75 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14831at5820          -            106   3.3e-11   41.8   6.1   2   2   6.1e-08   1.2e-05   24.0   1.9     5    84   108   191   104   207 0.82 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 14831at5820          -            106   1.2e-10   40.0  12.4   1   2   1.5e-09   2.8e-07   29.2   5.9     7    98    50   140    45   145 0.73 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 14831at5820          -            106   1.2e-10   40.0  12.4   2   2   5.3e-05      0.01   14.6   0.4     3    69   209   280   207   285 0.86 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 14831at5820          -            106   2.8e-07   29.2   2.4   1   2   7.7e-05     0.015   14.0   0.1     7    76   164   232   159   247 0.87 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 14831at5820          -            106   2.8e-07   29.2   2.4   2   2   3.6e-08   6.8e-06   24.8   0.3     3    76   910   987   908  1016 0.81 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 14831at5820          -            106   2.8e-07   29.2   0.7   1   2    0.0065       1.2    7.8   0.1     6   100    23   123    19   130 0.77 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 14831at5820          -            106   2.8e-07   29.2   0.7   2   2   1.3e-06   0.00025   19.7   0.1     4    75   172   248   168   250 0.81 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723818.1         -            390 14831at5820          -            106   6.6e-07   28.0   0.5   1   1     1e-08   1.9e-06   26.5   0.3     4    72   224   293   221   300 0.90 | transcript=PVPAM_140074100_t1 | gene=PVPAM_140074100 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=CASCJQ010000014:2906139-2907311(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 14831at5820          -            106   1.2e-06   27.1   0.2   1   3    0.0089       1.7    7.4   0.0     7    40    91   124    87   146 0.85 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 14831at5820          -            106   1.2e-06   27.1   0.2   2   3   0.00088      0.17   10.6   0.0     5    62   188   251   184   279 0.76 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 14831at5820          -            106   1.2e-06   27.1   0.2   3   3     0.058        11    4.8   0.1     6    84   374   456   371   478 0.63 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
