#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   1  16  2.6e-304  1.7e-300  998.7 137.8     1   559     5   613     5   618 0.94 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   2  16     4e-89   2.6e-85  284.5  26.3   557   728   711   884   702   887 0.96 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   3  16         0         0 1863.3 208.4   724  1721   913  1965   899  1970 0.95 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   4  16  8.2e-161  5.3e-157  522.4 107.3  1719  2107  2039  2503  2035  2516 0.90 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   5  16  6.9e-129  4.4e-125  416.5  76.4  2109  2467  2547  2968  2543  2978 0.84 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   6  16     2e-22   1.3e-18   63.1   6.7  2448  2508  2997  3057  2985  3069 0.91 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   7  16   2.6e-12   1.7e-08   29.5   0.0  2502  2545  3097  3140  3072  3145 0.87 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   8  16   2.1e-10   1.4e-06   23.2   0.8  2546  2586  3182  3222  3178  3229 0.93 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1   9  16   1.7e-62   1.1e-58  196.1  48.3  2559  2748  3227  3423  3221  3462 0.84 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  10  16   4.8e-55   3.1e-51  171.4  40.9  2734  2967  3468  3726  3458  3741 0.68 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  11  16  2.4e-143  1.5e-139  464.5 110.6  2839  3307  3657  4173  3651  4183 0.85 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  12  16   1.3e-53   8.2e-50  166.6  16.0  3300  3442  4238  4387  4234  4395 0.92 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  13  16   4.7e-80   3.1e-76  254.4  49.5  3432  3659  4413  4669  4394  4673 0.89 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  14  16   1.6e-67     1e-63  212.8  23.5  3656  3785  4733  4862  4729  4868 0.98 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  15  16   2.2e-68   1.4e-64  215.6  21.1  3785  3903  4896  5014  4888  5018 0.96 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723740.1         -           5500 71at5820             -           4311         0 6558.8 1040.1  16  16  9.8e-227  6.4e-223  741.2  73.3  3893  4311  5055  5500  5047  5500 0.96 | transcript=PVPAM_140066400_t1 | gene=PVPAM_140066400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2633993-2650495(+) | protein_length=5500 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm
