#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717701.1         -            234 11249at5820          -            199  5.2e-118  390.4  12.4   1   2   1.1e-81   9.2e-79  262.2   6.9     1   128     7   134     7   146 0.98 | transcript=PVPAM_010021500_t1 | gene=PVPAM_010021500 | organism=Plasmodium_vivax_PAM | gene_product=EKC/KEOPS complex subunit BUD32, putative | transcript_product=EKC/KEOPS complex subunit BUD32, putative | location=CASCJQ010000001:775317-776662(+) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717701.1         -            234 11249at5820          -            199  5.2e-118  390.4  12.4   2   2   1.1e-41   9.2e-39  131.7   0.3   126   199   156   234   149   234 0.95 | transcript=PVPAM_010021500_t1 | gene=PVPAM_010021500 | organism=Plasmodium_vivax_PAM | gene_product=EKC/KEOPS complex subunit BUD32, putative | transcript_product=EKC/KEOPS complex subunit BUD32, putative | location=CASCJQ010000001:775317-776662(+) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718979.1         -            643 11249at5820          -            199   1.2e-05   23.6   2.5   1   2   1.5e-08   1.2e-05   23.6   2.5    19   136   133   245   119   259 0.81 | transcript=PVPAM_050037100_t1 | gene=PVPAM_050037100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=CASCJQ010000005:1354660-1356591(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718979.1         -            643 11249at5820          -            199   1.2e-05   23.6   2.5   2   2         8   6.5e+03   -8.9   7.2    25    51   611   638   597   642 0.49 | transcript=PVPAM_050037100_t1 | gene=PVPAM_050037100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase RIO2, putative | transcript_product=serine/threonine protein kinase RIO2, putative | location=CASCJQ010000005:1354660-1356591(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 11249at5820          -            199   1.8e-05   23.0   2.4   1   1   5.1e-08   4.1e-05   21.8   2.4    41   141   114   222    81   231 0.73 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 11249at5820          -            199   0.00057   18.1   0.8   1   2       3.6   2.9e+03   -3.8   0.1     8    23   119   134   117   137 0.87 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 11249at5820          -            199   0.00057   18.1   0.8   2   2   7.1e-07   0.00057   18.1   0.8    69   139   837   912   766   918 0.67 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 11249at5820          -            199    0.0017   16.6   1.3   1   1   4.1e-06    0.0033   15.6   1.3    41   142    63   170     9   186 0.71 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 11249at5820          -            199    0.0022   16.2   6.8   1   1   7.2e-06    0.0058   14.8   6.8    25   140   509   629   492   634 0.83 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 11249at5820          -            199    0.0084   14.3   1.3   1   1   1.8e-05     0.014   13.5   1.3    40   127  1407  1499  1374  1513 0.78 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 11249at5820          -            199      0.13   10.4   3.1   1   2    0.0014       1.1    7.3   0.2    18    72  2798  2848  2788  2858 0.80 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 11249at5820          -            199      0.13   10.4   3.1   2   2     0.029        23    3.0   0.3    98   138  3047  3089  3009  3097 0.74 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:50 2026
# [ok]
