#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722908.1         -            518 6247at5820           -            432  3.2e-255  845.1  32.3   1   1  2.1e-256    2e-253  839.2  32.3     1   432     1   475     1   475 0.95 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 6247at5820           -            432     2e-18   64.8   2.2   1   4      0.86   7.9e+02   -3.1   0.2   261   295   120   154   112   161 0.56 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 6247at5820           -            432     2e-18   64.8   2.2   2   4   4.3e-10   3.9e-07   27.6   0.0   173   238   344   409   296   432 0.90 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 6247at5820           -            432     2e-18   64.8   2.2   3   4   4.5e-12   4.1e-09   34.1   0.1   282   336   551   606   542   631 0.84 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 6247at5820           -            432     2e-18   64.8   2.2   4   4      0.12   1.1e+02   -0.3   0.0   403   430   697   724   675   726 0.81 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 6247at5820           -            432   1.6e-13   48.6   6.6   1   1   3.6e-15   3.3e-12   44.3   6.6   178   302   102   223    97   328 0.82 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 6247at5820           -            432     6e-07   27.0   1.2   1   2   8.4e-09   7.8e-06   23.3   0.2   278   339   102   166    90   181 0.77 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 6247at5820           -            432     6e-07   27.0   1.2   2   2     0.026        24    2.0   0.0   218   248   333   360   324   394 0.76 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 6247at5820           -            432   7.9e-06   23.3   5.8   1   3    0.0076         7    3.7   0.1   124   195   356   430   349   477 0.81 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 6247at5820           -            432   7.9e-06   23.3   5.8   2   3   3.3e-08     3e-05   21.4   0.2   271   339   529   601   501   629 0.76 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 6247at5820           -            432   7.9e-06   23.3   5.8   3   3      0.22     2e+02   -1.1   0.1   316   379   639   700   632   724 0.68 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
