#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719719.1         -            307 9003at5820           -            272    2e-164  544.1   8.6   1   1  9.5e-167  6.1e-164  542.5   8.6     1   272    12   307    12   307 0.94 | transcript=PVPAM_070033300_t1 | gene=PVPAM_070033300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=CASCJQ010000007:1222988-1223911(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720159.1         -            308 9003at5820           -            272  3.7e-112  372.7   0.7   1   1  7.6e-115  4.9e-112  372.3   0.7     6   254    19   282    15   297 0.92 | transcript=PVPAM_080038100_t1 | gene=PVPAM_080038100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=CASCJQ010000008:1509355-1510281(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719695.1         -            510 9003at5820           -            272   6.7e-97  322.6   1.0   1   1   1.5e-99   9.6e-97  322.2   1.0     2   257   212   488   211   497 0.90 | transcript=PVPAM_070030900_t1 | gene=PVPAM_070030900 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=CASCJQ010000007:1119834-1121534(-) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722988.1         -            304 9003at5820           -            272   8.8e-81  269.8   0.5   1   1   1.7e-83   1.1e-80  269.5   0.5     8   265    28   300    23   303 0.91 | transcript=PVPAM_130049400_t1 | gene=PVPAM_130049400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=CASCJQ010000013:1956130-1958285(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717793.1         -            564 9003at5820           -            272   3.4e-56  189.1   0.4   1   1   8.5e-59   5.5e-56  188.5   0.4    26   262    72   336    47   345 0.82 | transcript=PVPAM_010030700_t1 | gene=PVPAM_010030700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=CASCJQ010000001:1141578-1143819(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 9003at5820           -            272   5.4e-48  162.3   0.1   1   1   1.3e-50   8.7e-48  161.6   0.1    11   268   409   678   399   681 0.84 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 9003at5820           -            272   5.6e-48  162.2   0.6   1   1   1.4e-49   9.1e-47  158.2   0.6    13   249   542   827   535   837 0.77 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 9003at5820           -            272   2.6e-37  127.2   2.2   1   1   1.2e-39   7.5e-37  125.7   2.2    14   259   217   488   207   498 0.75 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 9003at5820           -            272   8.5e-31  105.9   2.5   1   2   2.7e-05     0.017   13.0   0.0    11    54  1136  1181  1128  1192 0.86 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 9003at5820           -            272   8.5e-31  105.9   2.5   2   2   2.9e-26   1.9e-23   81.8   0.9    58   246  1256  1503  1247  1522 0.71 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722188.1         -            381 9003at5820           -            272   0.00025   19.1   0.6   1   1   6.6e-07   0.00042   18.3   0.6    26   113    65   164    48   204 0.76 | transcript=PVPAM_120042600_t1 | gene=PVPAM_120042600 | organism=Plasmodium_vivax_PAM | gene_product=shewanella-like protein phosphatase 1, putative | transcript_product=shewanella-like protein phosphatase 1, putative | location=CASCJQ010000012:1474919-1476064(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
