#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   1  12   2.5e-16   8.1e-13   45.4  21.0     1    60     1    67     1    74 0.87 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   2  12    1e-145  3.3e-142  473.9 104.4    48   355    76   395    69   398 0.95 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   3  12   8.4e-29   2.7e-25   86.7  26.8   350   471   429   543   414   546 0.78 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   4  12   9.4e-73     3e-69  232.3  46.1   425   636   539   767   537   820 0.88 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   5  12   4.4e-22   1.4e-18   64.4  16.3   635   727   823   926   799   943 0.84 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   6  12   1.1e-15   3.5e-12   43.3  16.7   695   796   978  1082   950  1086 0.83 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   7  12   4.9e-11   1.6e-07   27.9  18.8   709   855  1096  1235  1087  1243 0.77 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   8  12   6.1e-25     2e-21   73.9   8.6   840   906  1314  1380  1302  1390 0.88 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   9  12   1.1e-59   3.5e-56  189.0  10.1   882  1043  1405  1601  1398  1606 0.84 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9  10  12   5.3e-42   1.7e-38  130.4   3.0  1045  1129  1628  1719  1623  1724 0.92 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9  11  12    0.0025       8.1    2.3   4.3  1120  1152  1751  1783  1733  1786 0.74 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
