#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720632.1         -           1574 813at5820            -           1226         0 2357.7  76.0   1   4         0         0 1238.6  48.5     1   700    59   853    59   866 0.92 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 813at5820            -           1226         0 2357.7  76.0   2   4  3.4e-105  7.4e-102  340.2   0.9   710   871   967  1134   962  1145 0.96 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 813at5820            -           1226         0 2357.7  76.0   3   4  3.8e-103  8.1e-100  333.5   0.1   868  1029  1164  1332  1154  1338 0.94 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720632.1         -           1574 813at5820            -           1226         0 2357.7  76.0   4   4  1.8e-139    4e-136  453.8   7.5  1029  1226  1377  1574  1368  1574 0.99 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722709.1         -           1427 813at5820            -           1226  2.3e-109  365.1  29.1   1   4   2.8e-20     6e-17   59.0  14.5    42   640   229   819   206   828 0.70 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722709.1         -           1427 813at5820            -           1226  2.3e-109  365.1  29.1   2   4   1.4e-33   3.1e-30  103.0   0.1   712   864   854  1009   832  1014 0.91 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722709.1         -           1427 813at5820            -           1226  2.3e-109  365.1  29.1   3   4   5.4e-31   1.2e-27   94.5   0.0   920  1005  1175  1265  1123  1269 0.81 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722709.1         -           1427 813at5820            -           1226  2.3e-109  365.1  29.1   4   4   3.5e-35   7.4e-32  108.4   1.6  1040  1154  1268  1382  1261  1425 0.96 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   1   5   3.4e-09   7.3e-06   22.3   0.0    44   184    48   211    37   228 0.78 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   2   5   3.7e-09     8e-06   22.1   0.0   472   540   488   558   456   571 0.72 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   3   5   3.1e-34   6.6e-31  105.2   1.1   690   852   675   835   619   843 0.83 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
