#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   1   6     0.023        12    2.0   0.1     1    16     1    16     1    23 0.86 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   2   6         0         0 1406.6  29.3     9   632   237   866   230   877 0.98 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   3   6   2.4e-55   1.2e-52  177.3  16.4   630   753   909  1045   905  1047 0.89 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   4   6   1.6e-11   7.9e-09   32.3   3.5   749   785  1094  1130  1081  1149 0.84 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   5   6   6.7e-70   3.3e-67  225.5   4.7   784   913  1165  1297  1146  1301 0.95 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   6   6   1.5e-40   7.3e-38  128.4   0.9   910   978  1317  1385  1310  1385 0.97 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 1490at5820           -            978    1e-129  432.4  11.3   1   2  3.8e-103  1.9e-100  335.6   8.1    57   454   661  1076   648  1080 0.88 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 1490at5820           -            978    1e-129  432.4  11.3   2   2   5.1e-31   2.5e-28   96.9   0.0   437   560  1089  1217  1087  1230 0.87 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1490at5820           -            978  3.4e-116  387.7  13.3   1   1  1.9e-118  9.5e-116  386.2  13.3    81   582  1380  1907  1375  1959 0.85 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 1490at5820           -            978    2e-109  365.3  21.3   1   2     1e-70   5.1e-68  228.3  13.6    59   373   456   772   445   782 0.89 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 1490at5820           -            978    2e-109  365.3  21.3   2   2   1.4e-47   6.8e-45  151.7   0.8   388   548  1328  1488  1307  1491 0.95 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
