#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   1   6  3.2e-269  1.1e-266  886.5   6.3     2   390    52   440    51   455 0.99 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   2   6         0         0 2293.7  12.2   376  1394   463  1568   455  1582 0.98 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   3   6   7.9e-08   2.8e-05   19.4   9.4  1367  1443  1575  1659  1565  1662 0.64 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   4   6         0         0 1037.8   7.0  1430  1934  1757  2276  1727  2311 0.91 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   5   6  2.7e-277  9.7e-275  913.3   0.3  1923  2333  2410  2821  2389  2845 0.97 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   6   6   4.3e-79   1.6e-76  255.8   2.1  2337  2479  2918  3064  2906  3064 0.94 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723884.1         -            307 142at5820            -           2479   3.6e-05   19.1   8.5   1   1   1.2e-07   4.4e-05   18.8   8.5  1381  1484    91   192    37   204 0.60 | transcript=PVPAM_140081000_t1 | gene=PVPAM_140081000 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000014:3214754-3215813(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722940.1         -            490 142at5820            -           2479   0.00021   16.6  32.3   1   2   5.7e-07   0.00021   16.6  32.3  1375  1484    79   181    69   221 0.47 | transcript=PVPAM_130044200_t1 | gene=PVPAM_130044200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=CASCJQ010000013:1699269-1700741(-) | protein_length=490 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722940.1         -            490 142at5820            -           2479   0.00021   16.6  32.3   2   2       4.2   1.5e+03   -6.2   6.5  1395  1418   389   412   299   447 0.53 | transcript=PVPAM_130044200_t1 | gene=PVPAM_130044200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=CASCJQ010000013:1699269-1700741(-) | protein_length=490 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 142at5820            -           2479   0.00096   14.3   6.3   1   1   3.2e-06    0.0012   14.1   6.3  1383  1448   111   173    64   199 0.57 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 142at5820            -           2479    0.0027   12.9  15.9   1   1     1e-05    0.0036   12.4  15.9  1386  1514    33   172    18   183 0.52 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
