#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720099.1         -            535 5306at5820           -            502         0 1088.5  28.3   1   1         0         0 1082.2  28.3     1   502     1   535     1   535 0.97 | transcript=PVPAM_080032100_t1 | gene=PVPAM_080032100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=CASCJQ010000008:1235751-1237358(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 5306at5820           -            502   2.5e-77  259.0  24.0   1   1     6e-80   4.3e-77  258.3  24.0    24   496    18   526     9   529 0.85 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720234.1         -            532 5306at5820           -            502   3.5e-73  245.4  14.4   1   1   4.2e-75     3e-72  242.3  14.4    27   497    20   523     8   527 0.87 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720221.1         -            540 5306at5820           -            502   1.6e-71  239.9  19.3   1   1   2.7e-72     2e-69  233.0  19.3    11   497     8   525     4   530 0.86 | transcript=PVPAM_080044400_t1 | gene=PVPAM_080044400 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=CASCJQ010000008:1728057-1729848(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 5306at5820           -            502   5.7e-70  234.8  11.4   1   1   1.3e-71   9.5e-69  230.8  11.4    24   497    11   532     6   537 0.82 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723633.1         -            544 5306at5820           -            502   2.2e-67  226.2  19.5   1   1   6.4e-70   4.6e-67  225.2  19.5    17   497    12   527     4   530 0.88 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721544.1         -            543 5306at5820           -            502   8.3e-42  141.9  20.4   1   1   1.8e-43   1.3e-40  137.9  20.4    26   497    16   534     3   538 0.78 | transcript=PVPAM_110044900_t1 | gene=PVPAM_110044900 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=CASCJQ010000011:1669251-1671098(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718470.1         -            544 5306at5820           -            502   2.5e-40  137.0  27.4   1   1   6.2e-43   4.4e-40  136.2  27.4    27   497    24   524     8   528 0.79 | transcript=PVPAM_040021600_t1 | gene=PVPAM_040021600 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=CASCJQ010000004:707280-709172(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 5306at5820           -            502   6.4e-11   40.0  10.2   1   2   1.4e-10     1e-07   29.4   2.2    25   206    38   222    21   268 0.73 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 5306at5820           -            502   6.4e-11   40.0  10.2   2   2   3.3e-06    0.0024   15.0   1.2   358   486   411   542   399   556 0.68 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
