#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721235.1         -            483 5836at5820           -            442         0 1023.0  13.9   1   1         0         0 1022.2  13.9     1   442     1   454     1   454 0.98 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720350.1         -            475 5836at5820           -            442    9e-103  342.7   7.7   1   1    2e-105  1.3e-102  342.2   7.7    11   436    15   474     6   475 0.88 | transcript=PVPAM_090011500_t1 | gene=PVPAM_090011500 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=CASCJQ010000009:381016-382443(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723462.1         -            583 5836at5820           -            442   3.9e-99  330.7  16.6   1   2    0.0059       3.8    4.5   0.0    10    27    48    65    40    77 0.83 | transcript=PVPAM_140038400_t1 | gene=PVPAM_140038400 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=CASCJQ010000014:1439506-1442003(+) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723462.1         -            583 5836at5820           -            442   3.9e-99  330.7  16.6   2   2  1.1e-100   7.1e-98  326.6  14.2    33   437   167   583   159   583 0.91 | transcript=PVPAM_140038400_t1 | gene=PVPAM_140038400 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=CASCJQ010000014:1439506-1442003(+) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 5836at5820           -            442   0.00021   18.5   0.2   1   3      0.52   3.4e+02   -1.9   0.2   231   269    40    79    10    89 0.69 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 5836at5820           -            442   0.00021   18.5   0.2   2   3   6.3e-05     0.041   11.0   0.0    64   116   242   293   234   312 0.85 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 5836at5820           -            442   0.00021   18.5   0.2   3   3    0.0073       4.7    4.2   0.0    62   112   513   561   505   571 0.81 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5836at5820           -            442   0.00051   17.3   0.1   1   2   0.00017      0.11    9.6   0.0    62   116   509   562   501   580 0.76 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5836at5820           -            442   0.00051   17.3   0.1   2   2    0.0048       3.1    4.8   0.0    64   111   831   876   824   887 0.82 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 5836at5820           -            442    0.0007   16.8   1.3   1   3     3e-06     0.002   15.3   0.1    62   102   282   320   273   341 0.83 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 5836at5820           -            442    0.0007   16.8   1.3   2   3      0.28   1.8e+02   -1.0   0.0   277   359   342   432   326   449 0.68 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
