#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722696.1         -            940 3859at5820           -            494  1.2e-245  814.5  78.0   1   4   2.2e-24     2e-21   74.9  10.0     1    61     1    65     1    69 0.90 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722696.1         -            940 3859at5820           -            494  1.2e-245  814.5  78.0   2   4   2.9e-68   2.7e-65  219.6  27.6    59   201   127   290   121   302 0.88 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722696.1         -            940 3859at5820           -            494  1.2e-245  814.5  78.0   3   4   3.7e-44   3.4e-41  140.1   1.5   182   276   397   494   388   505 0.93 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722696.1         -            940 3859at5820           -            494  1.2e-245  814.5  78.0   4   4  3.4e-120  3.2e-117  390.9  15.6   294   493   737   935   679   936 0.91 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 3859at5820           -            494   2.8e-14   51.3   0.4   1   4   3.1e-07   0.00028   18.3   0.0   341   435    25   115    11   125 0.81 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 3859at5820           -            494   2.8e-14   51.3   0.4   2   4   0.00017      0.16    9.2   0.0   390   447   125   182   117   210 0.83 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 3859at5820           -            494   2.8e-14   51.3   0.4   3   4   1.2e-07   0.00011   19.7   0.0   391   451   240   300   236   326 0.80 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 3859at5820           -            494   2.8e-14   51.3   0.4   4   4       1.5   1.4e+03   -3.7   0.2   430   477   499   554   487   556 0.60 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 3859at5820           -            494   1.4e-13   49.0   0.1   1   3   1.6e-16   1.4e-13   49.0   0.1   339   443  1433  1531  1428  1537 0.87 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 3859at5820           -            494   1.4e-13   49.0   0.1   2   3      0.18   1.7e+02   -0.7   0.1   392   434  1639  1683  1634  1691 0.74 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 3859at5820           -            494   1.4e-13   49.0   0.1   3   3       1.1     1e+03   -3.3   0.3   312   335  2254  2278  2244  2296 0.64 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 3859at5820           -            494   7.7e-12   43.3  17.5   1   3   1.2e-10   1.1e-07   29.5   2.0   338   445    80   176    73   207 0.79 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 3859at5820           -            494   7.7e-12   43.3  17.5   2   3   1.7e-05     0.016   12.6   0.3   373   446   212   283   192   291 0.83 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 3859at5820           -            494   7.7e-12   43.3  17.5   3   3     4e-05     0.037   11.3   0.8   395   461   343   409   340   420 0.88 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 3859at5820           -            494   9.1e-10   36.4  24.5   1   3   4.5e-08   4.1e-05   21.1   3.7   336   442    79   180    57   185 0.73 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 3859at5820           -            494   9.1e-10   36.4  24.5   2   3     0.002       1.8    5.7   5.9   343   442   191   295   188   299 0.79 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 3859at5820           -            494   9.1e-10   36.4  24.5   3   3   1.1e-07    0.0001   19.8   0.8   394   471   300   382   295   401 0.79 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3859at5820           -            494   1.7e-08   32.2  20.7   1   4       0.8   7.4e+02   -2.9   0.5   193   218     4    26     1    46 0.56 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
