#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718799.1         -            198 11785at5820          -            171  1.8e-108  358.5  10.6   1   1  3.8e-111    2e-108  358.3  10.6     1   171    12   185    12   185 0.99 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 11785at5820          -            171     1e-26   92.4  35.8   1   4   5.9e-13   3.2e-10   38.7   8.7    39   132    16   108     6   109 0.92 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 11785at5820          -            171     1e-26   92.4  35.8   2   4   4.1e-11   2.2e-08   32.7   6.4    45   142   110   204   109   213 0.92 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 11785at5820          -            171     1e-26   92.4  35.8   3   4   0.00013     0.069   11.6   0.3    85   120   194   230   186   230 0.88 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 11785at5820          -            171     1e-26   92.4  35.8   4   4   6.4e-10   3.4e-07   28.8   6.3    84   167   216   298   203   302 0.87 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   1   8   0.00031      0.17   10.3   2.0    82   132    48    98    12   109 0.76 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   2   8   1.7e-06   0.00091   17.7   1.0    36   168    91   225    89   228 0.79 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   3   8       7.8   4.2e+03   -4.0   0.1   107   133   378   406   362   412 0.69 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   4   8    0.0018      0.98    7.8   0.1    50   144   794   894   777   908 0.77 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   5   8    0.0001     0.056   11.8   5.6    62   144  1004  1082   976  1105 0.79 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   6   8      0.25   1.3e+02    0.9   0.3    49   118  1082  1153  1070  1165 0.80 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   7   8     0.015       8.3    4.8   0.4    51   118  1153  1219  1123  1226 0.76 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11785at5820          -            171     4e-15   54.6  45.9   8   8   1.5e-09   8.3e-07   27.6   3.3    32   141  1257  1364  1237  1374 0.90 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722197.1         -            250 11785at5820          -            171   5.6e-12   44.4   8.2   1   1   1.6e-14   8.4e-12   43.8   7.5    40   170    95   228    75   229 0.86 | transcript=PVPAM_120043500_t1 | gene=PVPAM_120043500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:1514490-1515585(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 11785at5820          -            171     9e-12   43.7   7.6   1   3   6.9e-08   3.7e-05   22.2   0.2    83   125    56    98    36   104 0.88 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 11785at5820          -            171     9e-12   43.7   7.6   2   3     9e-09   4.9e-06   25.1   0.5    85   142   101   158    96   171 0.90 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 11785at5820          -            171     9e-12   43.7   7.6   3   3       1.5   8.3e+02   -1.7   0.1    84   133   276   284   252   320 0.53 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 11785at5820          -            171   4.1e-10   38.3  29.4   1   3   9.2e-08     5e-05   21.8  15.0     9   132     8   128     3   129 0.84 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
