#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   1   7   4.2e-56   9.1e-53  178.1   0.1     1    98     1    98     1   110 0.95 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   2   7   7.6e-43   1.6e-39  134.3   0.1    95   176   122   203   119   208 0.97 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   3   7   8.2e-51   1.8e-47  160.6   0.9   177   305   288   430   284   437 0.89 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   4   7   2.3e-25   4.9e-22   76.6   0.2   297   360   449   512   441   521 0.90 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   5   7   3.9e-36   8.4e-33  112.2   0.0   358   438   549   631   537   639 0.89 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   6   7   1.1e-15   2.3e-12   44.7   0.1   447   481   699   733   674   743 0.83 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723641.1         -            976 3680at5820           -            620  8.5e-289  957.8  34.5   7   7   8.6e-83   1.9e-79  266.3   7.0   488   620   838   973   812   973 0.92 | transcript=PVPAM_140056500_t1 | gene=PVPAM_140056500 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000014:2224855-2228030(+) | protein_length=976 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721411.1         -            790 3680at5820           -            620   4.6e-10   37.0  40.5   1   3   2.8e-06    0.0061   13.5   6.0    14   179     7   185     3   193 0.72 | transcript=PVPAM_110031400_t1 | gene=PVPAM_110031400 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000011:1146673-1149630(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721411.1         -            790 3680at5820           -            620   4.6e-10   37.0  40.5   2   3    0.0037       8.1    3.2   3.7   179   281   230   353   224   376 0.61 | transcript=PVPAM_110031400_t1 | gene=PVPAM_110031400 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000011:1146673-1149630(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721411.1         -            790 3680at5820           -            620   4.6e-10   37.0  40.5   3   3   5.2e-11   1.1e-07   29.2  14.9   300   607   416   759   406   770 0.73 | transcript=PVPAM_110031400_t1 | gene=PVPAM_110031400 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=CASCJQ010000011:1146673-1149630(-) | protein_length=790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718514.1         -            537 3680at5820           -            620     0.034   11.1   3.1   1   1   0.00021      0.46    7.3   3.1     1   133     1   157     1   164 0.65 | transcript=PVPAM_040025800_t1 | gene=PVPAM_040025800 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000004:873721-875334(+) | protein_length=537 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
