#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   1  10   7.4e-05      0.48    7.2   0.0     8    29    24    48    19    55 0.78 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   2  10  8.6e-157  5.5e-153  509.9  23.2    28   336   134   453   131   458 0.97 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   3  10   3.6e-29   2.4e-25   87.6   0.0   337   418   533   618   526   622 0.90 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   4  10    0.0096        62    0.2   0.0   405   439   637   672   631   677 0.83 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   5  10   1.2e-14   7.8e-11   39.6   0.9   443   489   722   779   706   783 0.81 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   6  10   1.4e-30   8.9e-27   92.3   0.0   488   568   803   893   797   897 0.87 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   7  10   7.7e-38     5e-34  116.3   0.0   569   703   938  1117   930  1131 0.80 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   8  10   5.1e-31   3.3e-27   93.8   6.9   691   803  1132  1271  1123  1273 0.79 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5   9  10    0.0022        14    2.3   0.1   800   824  1294  1317  1285  1322 0.78 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720599.1         -           1452 1877at5820           -            885  4.4e-298  990.0  56.5  10  10   3.1e-17     2e-13   48.2   0.0   828   878  1359  1409  1351  1413 0.94 | transcript=PVPAM_090036300_t1 | gene=PVPAM_090036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1381005-1385692(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1877at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:07 2026
# [ok]
