#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719686.1         -           1224 3553at5820           -            786         0 1233.5 125.3   1   6   8.5e-44   2.8e-40  137.0   9.9     1    89     1    91     1    93 0.97 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3553at5820           -            786         0 1233.5 125.3   2   6   6.5e-61   2.1e-57  193.7  14.6    89   203   118   240   114   253 0.94 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3553at5820           -            786         0 1233.5 125.3   3   6     0.072   2.3e+02   -1.6   5.6   203   235   409   442   399   447 0.78 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3553at5820           -            786         0 1233.5 125.3   4   6   1.2e-63     4e-60  202.7  11.4   198   334   443   585   438   590 0.89 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3553at5820           -            786         0 1233.5 125.3   5   6   1.1e-09   3.6e-06   24.2   4.9   327   364   659   696   646   705 0.86 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719686.1         -           1224 3553at5820           -            786         0 1233.5 125.3   6   6    6e-216  1.9e-212  706.4  42.2   360   786   744  1224   732  1224 0.93 | transcript=PVPAM_070030000_t1 | gene=PVPAM_070030000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1088946-1093156(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3553at5820           -            786   7.3e-05   19.9  43.0   1   5   1.2e-07   0.00039   17.5  31.4    13   192    14   202     8   209 0.74 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3553at5820           -            786   7.3e-05   19.9  43.0   2   5   1.5e-07   0.00049   17.1   3.7   244   304   213   276   202   288 0.80 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3553at5820           -            786   7.3e-05   19.9  43.0   3   5     0.003       9.6    3.0   6.5   403   460   440   499   412   518 0.63 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3553at5820           -            786   7.3e-05   19.9  43.0   4   5         2   6.5e+03  -10.7  25.6   520   628   513   625   493   636 0.66 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718442.1         -            862 3553at5820           -            786   7.3e-05   19.9  43.0   5   5    0.0069        22    1.7   6.1   637   694   704   761   688   851 0.72 | transcript=PVPAM_040018800_t1 | gene=PVPAM_040018800 | organism=Plasmodium_vivax_PAM | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=CASCJQ010000004:590619-593207(+) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3553at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3553at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3553at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:24 2026
# [ok]
