#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   1   9   2.5e-93   2.3e-90  302.2  31.2     1   229    13   264    13   269 0.92 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   2   9  1.5e-208  1.4e-205  684.3  69.7   219   687   294   827   290   833 0.90 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   3   9   4.6e-06    0.0043   12.8   0.2   682   706   860   884   846   888 0.86 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   4   9  2.5e-162  2.3e-159  531.0  32.3   706  1046   936  1302   932  1314 0.94 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   5   9  1.9e-156  1.8e-153  511.5  21.7  1042  1321  1426  1706  1421  1719 0.98 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   6   9   9.5e-56   8.8e-53  177.6   1.8  1316  1421  1733  1854  1729  1858 0.91 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   7   9  8.3e-262  7.7e-259  860.9  27.7  1421  1841  1939  2370  1932  2386 0.97 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   8   9   1.1e-51   1.1e-48  164.1   9.0  1840  1966  2415  2549  2408  2561 0.85 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723190.1         -           2656 327at5820            -           1976         0 3213.2 250.8   9   9      0.16   1.4e+02   -2.2   0.1  1939  1971  2577  2609  2568  2613 0.79 | transcript=PVPAM_140010900_t1 | gene=PVPAM_140010900 | organism=Plasmodium_vivax_PAM | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=CASCJQ010000014:272625-281196(-) | protein_length=2656 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 327at5820            -           1976   1.1e-51  173.9  51.8   1   6      0.13   1.2e+02   -1.9   1.1  1102  1204    92   193    48   208 0.75 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720002.1         -           1751 327at5820            -           1976   1.1e-51  173.9  51.8   2   6    0.0034       3.1    3.3   2.1   359  1313   312   398   291   406 0.56 | transcript=PVPAM_080022400_t1 | gene=PVPAM_080022400 | organism=Plasmodium_vivax_PAM | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=CASCJQ010000008:809465-814720(-) | protein_length=1751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
