#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   1  10   1.2e-79   7.7e-76  254.2   2.4     1   170     1   173     1   177 0.97 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   2  10   6.8e-72   4.4e-68  228.4   1.8   170   291   231   352   219   364 0.96 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   3  10   2.6e-81   1.6e-77  259.7   2.3   291   451   479   647   472   670 0.93 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   4  10   1.3e-92   8.7e-89  297.1   7.6   445   615   766   944   697   955 0.87 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   5  10   5.5e-88   3.6e-84  281.8  11.2   608   736  1083  1211  1078  1224 0.97 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   6  10   1.6e-53     1e-49  167.6   0.6   735   855  1338  1461  1335  1467 0.95 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   7  10  4.5e-242  2.9e-238  792.5  16.8   850  1377  1518  2139  1509  2157 0.87 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   8  10   6.9e-08   0.00045   16.3   0.0  1353  1416  2241  2312  2213  2318 0.76 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3   9  10   0.00011      0.69    5.7   0.2  1371  1436  2341  2408  2334  2417 0.72 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721085.1         -           2507 425at5820            -           1505         0 2381.2 103.3  10  10   3.2e-38   2.1e-34  116.8   3.2  1434  1505  2436  2507  2427  2507 0.95 | transcript=PVPAM_100035300_t1 | gene=PVPAM_100035300 | organism=Plasmodium_vivax_PAM | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=CASCJQ010000010:1290798-1298534(-) | protein_length=2507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/425at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:55 2026
# [ok]
