#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721406.1         -           1362 1286at5820           -           1049         0 2109.9  88.5   1   6   1.4e-64   4.4e-61  205.6   0.1     1   105     1   106     1   121 0.92 | transcript=PVPAM_110030900_t1 | gene=PVPAM_110030900 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000011:1133371-1137459(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721406.1         -           1362 1286at5820           -           1049         0 2109.9  88.5   2   6   2.2e-88     7e-85  284.4   9.3    98   234   159   297   146   311 0.95 | transcript=PVPAM_110030900_t1 | gene=PVPAM_110030900 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000011:1133371-1137459(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721406.1         -           1362 1286at5820           -           1049         0 2109.9  88.5   3   6   2.7e-48   8.6e-45  151.6   3.8   232   315   334   418   316   420 0.96 | transcript=PVPAM_110030900_t1 | gene=PVPAM_110030900 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000011:1133371-1137459(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721406.1         -           1362 1286at5820           -           1049         0 2109.9  88.5   4   6  2.1e-152  6.8e-149  496.3   7.4   312   560   477   726   472   732 0.98 | transcript=PVPAM_110030900_t1 | gene=PVPAM_110030900 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000011:1133371-1137459(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721406.1         -           1362 1286at5820           -           1049         0 2109.9  88.5   5   6  1.2e-224  3.9e-221  735.5  17.7   556   908   772  1149   764  1154 0.96 | transcript=PVPAM_110030900_t1 | gene=PVPAM_110030900 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000011:1133371-1137459(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721406.1         -           1362 1286at5820           -           1049         0 2109.9  88.5   6   6     3e-82   9.7e-79  264.0  14.1   906  1049  1212  1358  1206  1358 0.96 | transcript=PVPAM_110030900_t1 | gene=PVPAM_110030900 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000011:1133371-1137459(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1286at5820           -           1049     0.001   15.6   7.1   1   4   3.1e-05     0.099    9.1   0.1    38    94   145   200   136   218 0.86 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1286at5820           -           1049     0.001   15.6   7.1   2   4      0.21   6.7e+02   -3.6   0.2   621   651   733   763   728   767 0.86 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1286at5820           -           1049     0.001   15.6   7.1   3   4   2.1e-05     0.069    9.6   0.0   691   725   900   934   884   968 0.83 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1286at5820           -           1049     0.001   15.6   7.1   4   4     0.061     2e+02   -1.9   0.1   840   860  1140  1160  1131  1167 0.84 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1286at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1286at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:07 2026
# [ok]
