#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   1  12   1.8e-55   1.2e-51  174.5  17.6     1   123     1   126     1   136 0.93 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   2  12   7.1e-22   4.6e-18   63.3   0.0   121   169   155   203   149   207 0.94 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   3  12   7.6e-55   4.9e-51  172.4   0.0   171   301   252   384   247   390 0.95 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   4  12    0.0043        28    1.2   0.0   297   316   418   437   411   443 0.90 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   5  12   8.9e-36   5.7e-32  109.3   0.9   332   437   590   707   576   714 0.88 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   6  12   1.5e-07   0.00094   16.0   0.0   437   473   733   771   732   783 0.87 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   7  12   0.00076       4.9    3.7   0.0   481   502   838   859   835   865 0.92 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   8  12     2e-36   1.3e-32  111.4   0.0   504   626   967  1103   961  1109 0.86 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2   9  12   6.1e-37     4e-33  113.2   0.0   622   699  1123  1200  1119  1204 0.95 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2  10  12   7.6e-33   4.9e-29   99.6   0.0   701   780  1244  1333  1236  1339 0.90 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719159.1         -           1551 2368at5820           -            875    5e-292  969.7  27.2  11  12   1.8e-16   1.2e-12   45.5   0.0   781   833  1401  1455  1395  1473 0.90 | transcript=PVPAM_060016600_t1 | gene=PVPAM_060016600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:481596-486537(+) | protein_length=1551 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
