#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723066.1         -           1226 2123at5820           -            973         0 1785.9  58.6   1   2     1e-59   1.1e-56  190.7  12.3     1   169     1   227     1   247 0.92 | transcript=PVPAM_130057200_t1 | gene=PVPAM_130057200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=CASCJQ010000013:2311930-2315610(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723066.1         -           1226 2123at5820           -            973         0 1785.9  58.6   2   2         0         0 1598.2  38.4   170   972   286  1225   265  1226 0.97 | transcript=PVPAM_130057200_t1 | gene=PVPAM_130057200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=CASCJQ010000013:2311930-2315610(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718871.1         -           1051 2123at5820           -            973  2.4e-141  470.9  17.9   1   4     0.061        66   -0.6   0.0    73   115   242   284   230   314 0.76 | transcript=PVPAM_050026300_t2 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-909074(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718871.1         -           1051 2123at5820           -            973  2.4e-141  470.9  17.9   2   4   4.3e-72   4.7e-69  231.6   0.0   311   551   312   554   275   581 0.91 | transcript=PVPAM_050026300_t2 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-909074(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718871.1         -           1051 2123at5820           -            973  2.4e-141  470.9  17.9   3   4   3.2e-62   3.5e-59  198.9   1.1   584   786   717   920   671   927 0.89 | transcript=PVPAM_050026300_t2 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-909074(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718871.1         -           1051 2123at5820           -            973  2.4e-141  470.9  17.9   4   4   5.9e-16   6.4e-13   45.8   6.0   836   955   928  1043   922  1047 0.93 | transcript=PVPAM_050026300_t2 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-909074(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718869.1         -           1062 2123at5820           -            973  2.5e-141  470.8  17.8   1   4     0.062        67   -0.6   0.0    73   115   253   295   241   325 0.76 | transcript=PVPAM_050026300_t1 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905802-909074(+) | protein_length=1062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718869.1         -           1062 2123at5820           -            973  2.5e-141  470.8  17.8   2   4   4.4e-72   4.8e-69  231.6   0.0   311   551   323   565   286   592 0.91 | transcript=PVPAM_050026300_t1 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905802-909074(+) | protein_length=1062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718869.1         -           1062 2123at5820           -            973  2.5e-141  470.8  17.8   3   4   3.3e-62   3.5e-59  198.9   1.1   584   786   728   931   682   938 0.89 | transcript=PVPAM_050026300_t1 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905802-909074(+) | protein_length=1062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718869.1         -           1062 2123at5820           -            973  2.5e-141  470.8  17.8   4   4     6e-16   6.5e-13   45.8   6.0   836   955   939  1054   933  1058 0.93 | transcript=PVPAM_050026300_t1 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905802-909074(+) | protein_length=1062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718870.1         -            890 2123at5820           -            973  5.9e-117  390.2   5.5   1   3     0.058        63   -0.5   0.0    73   115   242   284   231   308 0.77 | transcript=PVPAM_050026300_t3 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-908686(+) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718870.1         -            890 2123at5820           -            973  5.9e-117  390.2   5.5   2   3   3.3e-72   3.6e-69  232.0   0.0   310   551   311   554   274   576 0.91 | transcript=PVPAM_050026300_t3 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-908686(+) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718870.1         -            890 2123at5820           -            973  5.9e-117  390.2   5.5   3   3   8.7e-50   9.4e-47  157.8   1.9   584   750   717   884   615   886 0.88 | transcript=PVPAM_050026300_t3 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-908686(+) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720451.1         -            905 2123at5820           -            973  1.1e-115  386.0  44.6   1   4     0.023        25    0.8   3.9   158   234    82   158    27   199 0.65 | transcript=PVPAM_090021600_t1 | gene=PVPAM_090021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=CASCJQ010000009:782718-785978(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720451.1         -            905 2123at5820           -            973  1.1e-115  386.0  44.6   2   4     7e-62   7.5e-59  197.8  21.6   234   631   111   520   105   530 0.81 | transcript=PVPAM_090021600_t1 | gene=PVPAM_090021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=CASCJQ010000009:782718-785978(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720451.1         -            905 2123at5820           -            973  1.1e-115  386.0  44.6   3   4   6.4e-56   6.9e-53  178.1   0.5   618   785   591   759   529   774 0.92 | transcript=PVPAM_090021600_t1 | gene=PVPAM_090021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=CASCJQ010000009:782718-785978(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720451.1         -            905 2123at5820           -            973  1.1e-115  386.0  44.6   4   4     3e-08   3.3e-05   20.3   6.2   833   922   775   860   768   902 0.84 | transcript=PVPAM_090021600_t1 | gene=PVPAM_090021600 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=CASCJQ010000009:782718-785978(-) | protein_length=905 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723910.1         -            763 2123at5820           -            973   1.3e-52  177.1  33.7   1   3         6   6.5e+03  -30.2  42.0    89   280    65   268    43   283 0.58 | transcript=PVPAM_API0007900_t1 | gene=PVPAM_API0007900 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpM, putative | transcript_product=chaperone protein ClpM, putative | location=CASCJQ010000015:11727-14018(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723910.1         -            763 2123at5820           -            973   1.3e-52  177.1  33.7   2   3   1.3e-55   1.3e-52  177.1  33.7   453   791   292   621   282   631 0.84 | transcript=PVPAM_API0007900_t1 | gene=PVPAM_API0007900 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpM, putative | transcript_product=chaperone protein ClpM, putative | location=CASCJQ010000015:11727-14018(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723910.1         -            763 2123at5820           -            973   1.3e-52  177.1  33.7   3   3   0.00096         1    5.4  13.4   836   940   631   733   621   747 0.82 | transcript=PVPAM_API0007900_t1 | gene=PVPAM_API0007900 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpM, putative | transcript_product=chaperone protein ClpM, putative | location=CASCJQ010000015:11727-14018(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2123at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2123at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2123at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:07 2026
# [ok]
