#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   1   8   4.2e-13   1.4e-09   35.7   1.1     1    39    10    48    10    51 0.95 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   2   8     6e-54   1.9e-50  170.7  12.4    28   138    94   204    87   211 0.94 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   3   8   2.1e-34   6.9e-31  106.1   5.1   153   226   390   466   366   475 0.86 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   4   8   3.2e-10     1e-06   26.2   0.0   224   275   537   599   533   605 0.84 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   5   8     1e-19   3.4e-16   57.5   0.2   269   338   687   773   676   787 0.78 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   6   8   3.6e-92   1.2e-88  297.1  31.3   335   519   798   986   779   993 0.95 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   7   8   2.5e-41   8.1e-38  129.0  17.7   517   626  1109  1234  1104  1241 0.84 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718815.1         -           1499 4501at5820           -            749  2.9e-297  986.9 127.3   8   8     2e-61   6.5e-58  195.4  14.6   628   748  1365  1498  1362  1499 0.92 | transcript=PVPAM_050020900_t1 | gene=PVPAM_050020900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:689341-693976(+) | protein_length=1499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718082.1         -             95 4501at5820           -            749    0.0051   13.9   3.7   1   1   1.7e-06    0.0054   13.9   3.7   388   456     3    73     1    91 0.74 | transcript=PVPAM_030007800_t1 | gene=PVPAM_030007800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:136251-136777(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4501at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:01 2026
# [ok]
