#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720345.1         -            167 12830at5820          -            150   1.3e-86  286.8  12.9   1   1   3.2e-89   1.5e-86  286.6  12.9     1   150    11   167    11   167 0.96 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 12830at5820          -            150     9e-28   95.8   8.7   1   1   2.4e-30   1.1e-27   95.5   8.7     2   135    22   162    21   166 0.92 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 12830at5820          -            150   8.6e-26   89.4   8.7   1   1   2.4e-28   1.1e-25   89.0   8.7     1   135    32   173    32   177 0.92 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 12830at5820          -            150   2.6e-22   78.1   4.0   1   1   7.3e-25   3.4e-22   77.7   4.0     3   135    23   162    21   166 0.89 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 12830at5820          -            150   1.6e-17   62.5   2.1   1   1   4.1e-20   1.9e-17   62.3   2.1     4   137     8   148     5   149 0.87 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721578.1         -            158 12830at5820          -            150   6.2e-06   24.9   1.1   1   2      0.33   1.5e+02    1.0   1.1    45    94    26    76    15    89 0.62 | transcript=PVPAM_110048300_t1 | gene=PVPAM_110048300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000011:1806007-1806483(+) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721578.1         -            158 12830at5820          -            150   6.2e-06   24.9   1.1   2   2   1.3e-08   6.2e-06   24.9   1.1     8    67    94   153    82   158 0.87 | transcript=PVPAM_110048300_t1 | gene=PVPAM_110048300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000011:1806007-1806483(+) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12830at5820          -            150   1.5e-05   23.7   6.8   1   3       2.5   1.1e+03   -1.9   0.0    42   102   292   351   276   363 0.65 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12830at5820          -            150   1.5e-05   23.7   6.8   2   3     0.025        12    4.6   0.2   108   148   379   421   352   423 0.70 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12830at5820          -            150   1.5e-05   23.7   6.8   3   3   9.9e-07   0.00046   18.9   5.5     6   137   379   525   375   529 0.71 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 12830at5820          -            150   3.1e-05   22.7   5.6   1   1   1.7e-07   7.8e-05   21.4   5.6     7   135    28   164    22   175 0.73 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 12830at5820          -            150   9.4e-05   21.1   4.2   1   2     2e-07   9.4e-05   21.1   4.2    62   138    34   111    28   125 0.83 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 12830at5820          -            150   9.4e-05   21.1   4.2   2   2      0.11        50    2.5   1.0    13    51   129   168   113   200 0.54 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
