#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718801.1         -             83 15067at5820          -             67   7.3e-45  149.4   2.8   1   1     2e-47     1e-44  148.9   2.8     5    67    21    83    18    83 0.98 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722736.1         -            107 15067at5820          -             67   1.8e-08   32.9   0.4   1   1   1.7e-10   8.2e-08   30.7   0.4     6    58    28    89    23    96 0.77 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721857.1         -             94 15067at5820          -             67   5.8e-07   28.0   0.0   1   1   1.6e-09   7.9e-07   27.6   0.0     9    56    34    83    25    93 0.82 | transcript=PVPAM_120009100_t1 | gene=PVPAM_120009100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=CASCJQ010000012:170799-171550(+) | protein_length=94 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718732.1         -             95 15067at5820          -             67   8.1e-06   24.3   0.8   1   1   2.1e-08   1.1e-05   23.9   0.8     8    57    16    68    11    78 0.86 | transcript=PVPAM_050012600_t1 | gene=PVPAM_050012600 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=CASCJQ010000005:363483-364299(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722453.1         -            101 15067at5820          -             67   2.9e-05   22.5   1.6   1   1   2.4e-07   0.00012   20.6   1.4     6    37    24    55    19    98 0.82 | transcript=PVPAM_120069000_t1 | gene=PVPAM_120069000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=CASCJQ010000012:2619511-2620187(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718825.1         -             91 15067at5820          -             67   3.7e-05   22.2   0.7   1   1   2.1e-06    0.0011   17.5   0.7    11    43    27    59    18    88 0.72 | transcript=PVPAM_050021900_t1 | gene=PVPAM_050021900 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=CASCJQ010000005:733817-734656(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720527.1         -            149 15067at5820          -             67   5.6e-05   21.6   0.4   1   1     2e-07    0.0001   20.8   0.4    12    62    27    83    18    87 0.81 | transcript=PVPAM_090029300_t1 | gene=PVPAM_090029300 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm1, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm1, putative | location=CASCJQ010000009:1124597-1125395(-) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720360.1         -            127 15067at5820          -             67   0.00095   17.7   0.1   1   1   2.7e-06    0.0013   17.2   0.1    12    63    22    75    11    79 0.80 | transcript=PVPAM_090012500_t1 | gene=PVPAM_090012500 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=CASCJQ010000009:415788-416623(+) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 15067at5820          -             67    0.0011   17.6   0.6   1   1     6e-06     0.003   16.1   0.6     8    56    17    74    13    80 0.73 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720553.1         -             86 15067at5820          -             67    0.0032   16.0   0.1   1   1   1.7e-05    0.0087   14.6   0.1    17    57    33    74    11    79 0.80 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719538.1         -            116 15067at5820          -             67    0.0054   15.3   0.0   1   1   1.6e-05    0.0078   14.8   0.0    25    57    37    70    23    77 0.85 | transcript=PVPAM_070015200_t1 | gene=PVPAM_070015200 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D3, putative | transcript_product=small nuclear ribonucleoprotein Sm D3, putative | location=CASCJQ010000007:523053-523703(+) | protein_length=116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
