#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723018.1         -           1860 571at5820            -           1466         0 2926.7 120.0   1   4  3.4e-211  7.3e-208  691.7  24.5     1   356     6   435     6   441 0.95 | transcript=PVPAM_130052400_t1 | gene=PVPAM_130052400 | organism=Plasmodium_vivax_PAM | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=CASCJQ010000013:2077085-2082667(+) | protein_length=1860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723018.1         -           1860 571at5820            -           1466         0 2926.7 120.0   2   4  7.3e-244  1.6e-240  800.0  11.6   355   748   522   933   506   952 0.93 | transcript=PVPAM_130052400_t1 | gene=PVPAM_130052400 | organism=Plasmodium_vivax_PAM | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=CASCJQ010000013:2077085-2082667(+) | protein_length=1860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723018.1         -           1860 571at5820            -           1466         0 2926.7 120.0   3   4   5.6e-43   1.2e-39  134.2   0.7   744   838  1029  1124  1013  1135 0.91 | transcript=PVPAM_130052400_t1 | gene=PVPAM_130052400 | organism=Plasmodium_vivax_PAM | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=CASCJQ010000013:2077085-2082667(+) | protein_length=1860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723018.1         -           1860 571at5820            -           1466         0 2926.7 120.0   4   4         0         0 1317.6  60.5   839  1466  1220  1860  1215  1860 0.98 | transcript=PVPAM_130052400_t1 | gene=PVPAM_130052400 | organism=Plasmodium_vivax_PAM | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=CASCJQ010000013:2077085-2082667(+) | protein_length=1860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721380.1         -           1221 571at5820            -           1466   8.6e-14   48.6  24.3   1   5      0.28     6e+02   -4.0   0.1   986  1022   347   386   339   388 0.63 | transcript=PVPAM_110028300_t1 | gene=PVPAM_110028300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=CASCJQ010000011:1004589-1008254(+) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721380.1         -           1221 571at5820            -           1466   8.6e-14   48.6  24.3   2   5     0.015        32    0.3   4.0  1046  1138   528   620   510   631 0.78 | transcript=PVPAM_110028300_t1 | gene=PVPAM_110028300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=CASCJQ010000011:1004589-1008254(+) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721380.1         -           1221 571at5820            -           1466   8.6e-14   48.6  24.3   3   5   9.5e-13   2.1e-09   34.0   3.8  1165  1227   785   848   745   854 0.76 | transcript=PVPAM_110028300_t1 | gene=PVPAM_110028300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=CASCJQ010000011:1004589-1008254(+) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721380.1         -           1221 571at5820            -           1466   8.6e-14   48.6  24.3   4   5   4.4e-10   9.4e-07   25.2   0.1  1240  1401   911  1068   899  1075 0.80 | transcript=PVPAM_110028300_t1 | gene=PVPAM_110028300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=CASCJQ010000011:1004589-1008254(+) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721380.1         -           1221 571at5820            -           1466   8.6e-14   48.6  24.3   5   5     0.058   1.2e+02   -1.7   0.0  1409  1442  1102  1135  1076  1141 0.81 | transcript=PVPAM_110028300_t1 | gene=PVPAM_110028300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=CASCJQ010000011:1004589-1008254(+) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717935.1         -            481 571at5820            -           1466     3e-07   26.9   1.9   1   1     2e-10   4.2e-07   26.4   1.9   950  1079   153   280   136   303 0.83 | transcript=PVPAM_020016700_t1 | gene=PVPAM_020016700 | organism=Plasmodium_vivax_PAM | gene_product=3'-5' exonuclease, putative | transcript_product=3'-5' exonuclease, putative | location=CASCJQ010000002:487021-488466(-) | protein_length=481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/571at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/571at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/571at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:03 2026
# [ok]
