#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718946.1         -            191 12242at5820          -            175  1.7e-115  381.6   3.3   1   1  1.7e-117  5.9e-115  379.9   3.3     1   175     1   191     1   191 0.98 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 12242at5820          -            175   7.9e-30  102.6   0.1   1   1   2.6e-32   8.9e-30  102.5   0.1    22   173    23   176     4   178 0.93 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 12242at5820          -            175   1.4e-23   82.3   0.0   1   1   5.3e-26   1.8e-23   81.9   0.0    22   171    23   174     4   177 0.92 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 12242at5820          -            175   4.8e-20   70.8   0.0   1   1   1.6e-22   5.4e-20   70.6   0.0    17   170    13   173     1   177 0.83 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723803.1         -            261 12242at5820          -            175   2.6e-08   32.6   0.0   1   1   1.1e-10   3.9e-08   32.0   0.0    26   137    73   190    62   205 0.83 | transcript=PVPAM_140072600_t1 | gene=PVPAM_140072600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=CASCJQ010000014:2867218-2868732(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721259.1         -            203 12242at5820          -            175     7e-08   31.2   0.0   1   1   2.8e-10   9.7e-08   30.7   0.0    23   147    33   165    27   186 0.74 | transcript=PVPAM_110016100_t1 | gene=PVPAM_110016100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000011:452607-453649(-) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 12242at5820          -            175   2.5e-07   29.4   0.0   1   1   1.1e-09   3.8e-07   28.8   0.0    27   132    23   132    16   154 0.74 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 12242at5820          -            175   3.1e-07   29.1   0.0   1   1   1.1e-09   3.9e-07   28.8   0.0    27   136    20   132    13   168 0.82 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 12242at5820          -            175   4.6e-07   28.5   0.1   1   1   2.1e-09   7.1e-07   27.9   0.0    28   131    20   128    12   150 0.74 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719646.1         -            191 12242at5820          -            175   1.5e-06   26.8   0.1   1   1   5.7e-09   1.9e-06   26.5   0.1    22   171    28   176     5   180 0.83 | transcript=PVPAM_070026000_t1 | gene=PVPAM_070026000 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000007:932498-933855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723329.1         -            207 12242at5820          -            175   1.3e-05   23.8   0.0   1   1   7.6e-08   2.6e-05   22.8   0.0    23   170    22   183    14   188 0.73 | transcript=PVPAM_140024800_t1 | gene=PVPAM_140024800 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000014:866786-867932(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
