#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   1  10  1.1e-153  6.9e-150  499.3   7.6     1   294     1   330     1   337 0.90 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   2  10  2.8e-101   1.8e-97  325.8   3.5   294   477   373   584   367   635 0.85 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   3  10   5.8e-17   3.8e-13   46.7   1.9   510   553   985  1028   978  1040 0.85 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   4  10   6.7e-10   4.3e-06   23.3   1.8   544   576  1060  1095  1026  1100 0.71 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   5  10   1.4e-08   8.8e-05   19.0   0.0   573   601  1209  1237  1204  1247 0.90 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   6  10   1.1e-12   6.9e-09   32.5   0.0   599   644  1267  1312  1259  1316 0.92 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   7  10   4.4e-16   2.9e-12   43.7   0.4   644   711  1342  1414  1339  1418 0.91 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   8  10   1.3e-62   8.1e-59  197.8   1.0   696   820  1442  1572  1430  1577 0.93 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7   9  10     3e-82   1.9e-78  262.8   2.4   818   962  1684  1828  1678  1851 0.92 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721565.1         -           1915 841at5820            -            990         0 1436.1  67.7  10  10   4.4e-08   0.00028   17.3   0.3   965   990  1874  1899  1860  1899 0.90 | transcript=PVPAM_110047000_t1 | gene=PVPAM_110047000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1749366-1755324(+) | protein_length=1915 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/841at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:02 2026
# [ok]
