#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721876.1         -           1389 1098at5820           -            989         0 1939.5 108.8   1   5     2e-47   8.7e-45  151.2   3.0     1    84     1    85     1    93 0.97 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1098at5820           -            989         0 1939.5 108.8   2   5  1.6e-226    7e-224  744.0  38.0    81   455   172   571   163   575 0.96 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1098at5820           -            989         0 1939.5 108.8   3   5  8.1e-100   3.5e-97  324.6  12.3   456   616   669   830   665   840 0.96 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1098at5820           -            989         0 1939.5 108.8   4   5   1.1e-50   4.5e-48  162.1   6.6   612   712   929  1037   916  1043 0.90 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 1098at5820           -            989         0 1939.5 108.8   5   5  1.8e-177  7.7e-175  581.7  17.2   712   989  1095  1389  1092  1389 0.96 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 1098at5820           -            989   3.3e-88  294.9   0.2   1   3   5.9e-60   2.5e-57  192.7   0.0     8   377    15   376     6   386 0.87 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 1098at5820           -            989   3.3e-88  294.9   0.2   2   3   3.7e-12   1.6e-09   34.5   0.1   505   597   468   560   446   579 0.89 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 1098at5820           -            989   3.3e-88  294.9   0.2   3   3   3.9e-21   1.7e-18   64.2   0.0   776   944   636   808   629   829 0.87 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1098at5820           -            989     4e-53  178.8  29.6   1   4   7.7e-05     0.033   10.2   0.0    10    36   177   203   168   215 0.83 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1098at5820           -            989     4e-53  178.8  29.6   2   4   3.7e-26   1.6e-23   80.8  25.3    47   367   269   601   253   624 0.81 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1098at5820           -            989     4e-53  178.8  29.6   3   4   5.8e-07   0.00025   17.3   0.1   509   600   800   891   794   920 0.82 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
