#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   1  10   6.5e-21   4.2e-17   60.1   1.3     1    39     1    39     1    45 0.95 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   2  10   0.00071       4.6    3.8   0.0    47    66   224   243   219   258 0.80 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   3  10   6.1e-41   3.9e-37  126.4   2.0    64   142   268   350   263   354 0.92 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   4  10   1.3e-06    0.0084   12.8   0.4   136   183   436   485   419   492 0.73 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   5  10   6.4e-12   4.1e-08   30.4   3.6   167   204   493   530   488   545 0.88 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   6  10   1.6e-09     1e-05   22.5   0.0   195   233   896   936   862   967 0.89 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   7  10   1.3e-11   8.1e-08   29.4   0.1   227   270  1006  1049   992  1066 0.80 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   8  10  8.4e-119  5.4e-115  384.0  55.3   270   517  1172  1419  1167  1425 0.98 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8   9  10     2e-23   1.3e-19   68.5  10.9   510   583  1454  1542  1447  1548 0.81 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722485.1         -           2014 1110at5820           -            876         0 1273.2 160.8  10  10    2e-173  1.3e-169  564.8  38.3   578   876  1693  2014  1690  2014 0.91 | transcript=PVPAM_120072200_t1 | gene=PVPAM_120072200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2775440-2782103(+) | protein_length=2014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1110at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:24 2026
# [ok]
