#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722061.1         -            533 5505at5820           -            448  2.9e-281  931.2  17.5   1   3      0.21        70    0.4   0.1     1    16     1    16     1    19 0.91 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 5505at5820           -            448  2.9e-281  931.2  17.5   2   3  3.9e-128  1.3e-125  418.1   0.5     9   199    56   246    52   259 0.97 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 5505at5820           -            448  2.9e-281  931.2  17.5   3   3  1.1e-158  3.7e-156  518.8   7.0   196   448   270   533   265   533 0.97 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 5505at5820           -            448   2.4e-44  150.3   6.0   1   2   1.1e-26   3.9e-24   83.7   2.1    16   199    45   224    30   231 0.85 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 5505at5820           -            448   2.4e-44  150.3   6.0   2   2   4.1e-22   1.4e-19   68.7   0.1   245   445   231   432   223   434 0.83 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 5505at5820           -            448   5.1e-35  119.6  21.2   1   2   4.1e-20   1.4e-17   62.1   9.2     8   224    22   227    14   236 0.86 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 5505at5820           -            448   5.1e-35  119.6  21.2   2   2   1.7e-20   5.9e-18   63.3   4.1   266   443   321   493   301   496 0.84 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 5505at5820           -            448   3.4e-13   47.6   0.1   1   2   1.4e-05    0.0048   14.2   0.0   351   429   144   221   132   238 0.79 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 5505at5820           -            448   3.4e-13   47.6   0.1   2   2   8.9e-11     3e-08   31.3   0.1   276   410   283   423   263   429 0.75 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5505at5820           -            448   3.3e-10   37.8   3.3   1   4         3     1e+03   -3.4   4.7   190   362   121   295    43   306 0.60 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5505at5820           -            448   3.3e-10   37.8   3.3   2   4    0.0014      0.47    7.6   4.2   138   216   253   332   249   338 0.66 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5505at5820           -            448   3.3e-10   37.8   3.3   3   4   9.6e-13   3.3e-10   37.8   3.3   262   400   428   560   422   568 0.86 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5505at5820           -            448   3.3e-10   37.8   3.3   4   4     0.033        11    3.0   0.5   371   423   575   627   570   641 0.83 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5505at5820           -            448   3.5e-08   31.1   2.1   1   1   1.9e-10   6.3e-08   30.2   2.1   278   390   184   292   165   305 0.87 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 5505at5820           -            448     1e-07   29.5  16.0   1   2   2.3e-08   7.7e-06   23.4  11.7   119   394     5   271     2   281 0.81 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 5505at5820           -            448     1e-07   29.5  16.0   2   2     0.077        26    1.8   0.1   255   303   676   726   654   737 0.84 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 5505at5820           -            448   1.4e-07   29.1   3.0   1   1   8.4e-10   2.9e-07   28.1   2.4   259   403   188   334   166   367 0.86 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721426.1         -            533 5505at5820           -            448   1.8e-07   28.8   9.6   1   2   0.00029     0.097    9.8   0.5   324   394   199   271   177   286 0.77 | transcript=PVPAM_110033200_t1 | gene=PVPAM_110033200 | organism=Plasmodium_vivax_PAM | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=CASCJQ010000011:1203603-1205204(-) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721426.1         -            533 5505at5820           -            448   1.8e-07   28.8   9.6   2   2   3.6e-08   1.2e-05   22.7   3.1   267   386   298   417   287   422 0.81 | transcript=PVPAM_110033200_t1 | gene=PVPAM_110033200 | organism=Plasmodium_vivax_PAM | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=CASCJQ010000011:1203603-1205204(-) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 5505at5820           -            448   1.9e-07   28.7   5.3   1   1     8e-10   2.7e-07   28.1   5.3   261   426   244   402   226   416 0.87 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
