#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   1  11   5.4e-24   1.8e-20   70.3   1.6     1    89     1   102     1   117 0.84 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   2  11   1.7e-06    0.0055   12.3   0.1    94   121   302   329   256   346 0.89 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   3  11  5.6e-275  1.8e-271  902.7   3.0   115   516   407   808   403   812 0.99 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   4  11  8.6e-218  2.8e-214  713.0  12.8   514   871   846  1223   842  1235 0.95 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   5  11   2.2e-17   7.2e-14   48.4   0.4   867   935  1310  1387  1295  1399 0.76 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   6  11     0.032     1e+02   -1.9   0.2   917   941  1457  1481  1446  1486 0.83 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   7  11   1.1e-59   3.4e-56  188.8   9.0   939  1094  1560  1737  1552  1752 0.84 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   8  11   4.3e-39   1.4e-35  120.4   7.1  1082  1243  1770  2004  1765  2007 0.78 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5   9  11   1.1e-56   3.4e-53  178.8   0.1  1236  1379  2022  2195  2011  2205 0.87 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5  10  11  8.8e-186  2.8e-182  606.9  12.8  1378  1665  2332  2619  2328  2636 0.98 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722184.1         -           3046 165at5820            -           2038         0 3553.9 108.5  11  11  8.4e-230  2.7e-226  752.8   0.0  1662  2037  2662  3046  2654  3046 0.97 | transcript=PVPAM_120042200_t1 | gene=PVPAM_120042200 | organism=Plasmodium_vivax_PAM | gene_product=acetyl-CoA carboxylase, putative | transcript_product=acetyl-CoA carboxylase, putative | location=CASCJQ010000012:1453488-1462980(-) | protein_length=3046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719161.1         -            630 165at5820            -           2038   1.9e-05   20.5   0.3   1   3   5.8e-09   1.9e-05   20.5   0.3   778   851    58   132    35   139 0.84 | transcript=PVPAM_060016800_t1 | gene=PVPAM_060016800 | organism=Plasmodium_vivax_PAM | gene_product=dihydrolipoamide acyltransferase component E2, putative | transcript_product=dihydrolipoamide acyltransferase component E2, putative | location=CASCJQ010000006:492197-495557(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719161.1         -            630 165at5820            -           2038   1.9e-05   20.5   0.3   2   3     0.087   2.8e+02   -3.3   0.0   778   830   191   243   187   259 0.81 | transcript=PVPAM_060016800_t1 | gene=PVPAM_060016800 | organism=Plasmodium_vivax_PAM | gene_product=dihydrolipoamide acyltransferase component E2, putative | transcript_product=dihydrolipoamide acyltransferase component E2, putative | location=CASCJQ010000006:492197-495557(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719161.1         -            630 165at5820            -           2038   1.9e-05   20.5   0.3   3   3     0.032     1e+02   -1.9   0.3  1256  1332   379   458   365   482 0.66 | transcript=PVPAM_060016800_t1 | gene=PVPAM_060016800 | organism=Plasmodium_vivax_PAM | gene_product=dihydrolipoamide acyltransferase component E2, putative | transcript_product=dihydrolipoamide acyltransferase component E2, putative | location=CASCJQ010000006:492197-495557(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/165at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:56 2026
# [ok]
