#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720672.1         -            867 4608at5820           -            541         0 1018.9  85.4   1   5  1.2e-135  1.3e-132  441.7  20.1     1   246     1   262     1   287 0.88 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 4608at5820           -            541         0 1018.9  85.4   2   5       0.2   2.1e+02   -1.3   4.4   433   480   288   336   274   347 0.77 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 4608at5820           -            541         0 1018.9  85.4   3   5   0.00036      0.39    7.7   5.1   201   239   355   393   338   406 0.66 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 4608at5820           -            541         0 1018.9  85.4   4   5  3.3e-134  3.6e-131  436.9  15.8   237   470   417   679   392   722 0.85 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 4608at5820           -            541         0 1018.9  85.4   5   5   2.1e-48   2.2e-45  153.8   9.3   460   541   786   867   764   867 0.91 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 4608at5820           -            541   6.6e-22   76.3   0.8   1   2    0.0089       9.6    3.1   0.0    30    81    25    73    15    93 0.82 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 4608at5820           -            541   6.6e-22   76.3   0.8   2   2   2.3e-23   2.5e-20   71.1   0.4   308   446   102   247    92   255 0.83 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 4608at5820           -            541   1.2e-20   72.1   1.0   1   1   2.3e-23   2.5e-20   71.1   1.0   295   449   732   884   697   914 0.87 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 4608at5820           -            541   2.4e-15   54.7   4.2   1   2    0.0032       3.5    4.6   0.1    33    82    25    78    13    94 0.78 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 4608at5820           -            541   2.4e-15   54.7   4.2   2   2     3e-17   3.2e-14   50.9   1.2   314   464   127   272   114   296 0.79 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 4608at5820           -            541   4.4e-13   47.2   8.3   1   3      0.76   8.2e+02   -3.2   0.2   187   245   466   528   458   546 0.59 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
