#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722769.1         -            421 6860at5820           -            348  3.6e-209  692.2  35.1   1   1  7.2e-210    2e-207  686.5  35.1     1   348    19   421    19   421 0.93 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 6860at5820           -            348   4.6e-36  122.9  13.6   1   1   2.1e-38     6e-36  122.5  13.6     5   293    42   347    38   360 0.81 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 6860at5820           -            348   4.1e-29  100.1   6.0   1   3   6.7e-26   1.9e-23   81.4   1.7     9    81     4    82     2    91 0.87 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 6860at5820           -            348   4.1e-29  100.1   6.0   2   3     0.028       7.9    3.8   0.0   106   125   156   175   147   186 0.86 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 6860at5820           -            348   4.1e-29  100.1   6.0   3   3   7.3e-06     0.002   15.6   0.0   203   295   191   292   178   318 0.79 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 6860at5820           -            348   1.3e-25   88.6   4.4   1   2   2.1e-20   5.8e-18   63.4   1.0     8    85    81   165    77   184 0.83 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 6860at5820           -            348   1.3e-25   88.6   4.4   2   2   6.4e-09   1.8e-06   25.6   0.1   157   295   228   370   213   384 0.81 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 6860at5820           -            348   5.8e-22   76.6   1.2   1   3   8.4e-17   2.4e-14   51.5   0.5     6    75    82   158    77   164 0.89 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 6860at5820           -            348   5.8e-22   76.6   1.2   2   3      0.34        96    0.2   0.0   105   124   247   266   232   271 0.87 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 6860at5820           -            348   5.8e-22   76.6   1.2   3   3   1.4e-07   3.9e-05   21.2   0.0   196   293   276   382   268   392 0.80 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 6860at5820           -            348   2.7e-21   74.3   6.5   1   2   1.1e-12     3e-10   38.0   0.0     7    71    77   144    71   155 0.87 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 6860at5820           -            348   2.7e-21   74.3   6.5   2   2   2.3e-12   6.3e-10   37.0   3.8    82   241   178   336   168   368 0.77 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 6860at5820           -            348   2.8e-16   57.9   1.4   1   1   1.7e-18   4.9e-16   57.1   1.4     9    73    34    99    31   108 0.93 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
