#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721609.1         -            920 2651at5820           -            741         0 1568.5  48.8   1   3  1.2e-202  5.5e-200  664.7  16.3    12   321    90   400    78   405 0.98 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2651at5820           -            741         0 1568.5  48.8   2   3  6.9e-156  3.2e-153  510.1  15.7   319   557   456   694   449   700 0.98 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2651at5820           -            741         0 1568.5  48.8   3   3  3.5e-124  1.6e-121  405.3   1.5   551   741   730   920   709   920 0.98 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 2651at5820           -            741  3.2e-124  414.2  18.6   1   1  2.4e-126  1.1e-123  412.5  18.6    16   730    36   765    31   773 0.88 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2651at5820           -            741   6.8e-41  138.7  12.7   1   5     6e-36   2.8e-33  113.6   0.3    21   191    25   189    16   202 0.92 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2651at5820           -            741   6.8e-41  138.7  12.7   2   5    0.0042         2    5.0   0.0   231   289   290   348   275   354 0.84 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2651at5820           -            741   6.8e-41  138.7  12.7   3   5    0.0025       1.2    5.7   0.1   338   423   449   533   439   535 0.84 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2651at5820           -            741   6.8e-41  138.7  12.7   4   5   0.00042      0.19    8.3   0.5   424   512   636   723   627   743 0.85 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2651at5820           -            741   6.8e-41  138.7  12.7   5   5   8.8e-05     0.041   10.5   0.1   642   726  1009  1098   987  1100 0.83 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 2651at5820           -            741   3.6e-39  133.0   0.3   1   3   2.1e-27   9.8e-25   85.3   0.7    18   200    16   200     1   231 0.84 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 2651at5820           -            741   3.6e-39  133.0   0.3   2   3   6.8e-11   3.2e-08   30.7   0.0   369   520   406   560   304   569 0.72 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
