#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718005.1         -            901 6996at5820           -            561  1.1e-277  920.8  49.8   1   6   3.5e-29   1.1e-25   88.9   0.2     1    66    36   105    36   108 0.90 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 6996at5820           -            561  1.1e-277  920.8  49.8   2   6  2.5e-131  8.2e-128  426.0  14.5    65   307   162   425   158   430 0.91 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 6996at5820           -            561  1.1e-277  920.8  49.8   3   6   1.2e-40   3.7e-37  126.7   0.7   303   381   474   554   471   557 0.93 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 6996at5820           -            561  1.1e-277  920.8  49.8   4   6   5.5e-32   1.8e-28   98.1   1.1   382   446   584   647   581   661 0.90 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 6996at5820           -            561  1.1e-277  920.8  49.8   5   6   5.8e-41   1.9e-37  127.7   1.5   431   517   655   742   649   745 0.91 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 6996at5820           -            561  1.1e-277  920.8  49.8   6   6   1.8e-25   5.9e-22   76.6   0.5   511   561   838   888   822   888 0.90 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 6996at5820           -            561   2.2e-15   54.9  20.5   1   4   3.3e-05      0.11    9.7   2.6    16    98    37   114    29   141 0.65 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 6996at5820           -            561   2.2e-15   54.9  20.5   2   4   8.1e-08   0.00026   18.3   0.6    61   115   483   537   466   553 0.84 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 6996at5820           -            561   2.2e-15   54.9  20.5   3   4   9.5e-13   3.1e-09   34.6   0.9   140   225   589   677   583   686 0.83 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 6996at5820           -            561   2.2e-15   54.9  20.5   4   4    0.0057        18    2.3   0.1   329   361   899   932   880   950 0.78 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6996at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:30 2026
# [ok]
