#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   1   7  6.7e-173  7.2e-170  565.8  50.9     1   335     1   400     1   411 0.89 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   2   7   9.5e-38     1e-34  117.5  27.6   330   475   420   593   417   609 0.81 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   3   7  2.1e-181  2.2e-178  594.0  66.1   437  1216   608  1727   589  1734 0.83 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   4   7     1e-27   1.1e-24   84.2   0.2  1208  1279  1757  1828  1743  1849 0.87 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   5   7  1.1e-225  1.2e-222  740.8  29.9  1289  1729  1915  2402  1891  2410 0.86 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   6   7  3.5e-159  3.8e-156  520.3  38.2  1725  1967  2437  2679  2434  2685 0.98 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   7   7  4.5e-143  4.8e-140  466.8  37.6  1968  2186  2744  2962  2737  2962 0.98 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 535at5820            -           2186    0.0021   13.7   6.2   1   1   1.9e-06    0.0021   13.7   6.2  1544  1668    54   176    37   281 0.64 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721622.1         -            332 535at5820            -           2186     0.011   11.3  13.1   1   1   1.2e-05     0.013   11.0  13.1  1081  1258    71   257    13   273 0.62 | transcript=PVPAM_110052600_t1 | gene=PVPAM_110052600 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2005086-2006297(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722081.1         -            264 535at5820            -           2186     0.076    8.5  21.9   1   1   8.5e-05     0.092    8.2  21.9  1509  1678    20   195     7   230 0.61 | transcript=PVPAM_120031900_t1 | gene=PVPAM_120031900 | organism=Plasmodium_vivax_PAM | gene_product=ribonuclease P protein subunit RPR2, putative | transcript_product=ribonuclease P protein subunit RPR2, putative | location=CASCJQ010000012:1062220-1063014(-) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 535at5820            -           2186      0.44    6.0  30.7   1   1    0.0005      0.54    5.7  30.7  1516  1642   136   269    94   308 0.55 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
