#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722988.1         -            304 8326at5820           -            292  3.1e-213  704.8   2.2   1   1  4.8e-216  3.5e-213  704.6   2.2     1   292     1   292     1   292 1.00 | transcript=PVPAM_130049400_t1 | gene=PVPAM_130049400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=CASCJQ010000013:1956130-1958285(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719719.1         -            307 8326at5820           -            292   1.5e-88  295.5   3.2   1   1   2.6e-91   1.9e-88  295.2   3.2    27   291    18   282     5   283 0.97 | transcript=PVPAM_070033300_t1 | gene=PVPAM_070033300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=CASCJQ010000007:1222988-1223911(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719695.1         -            510 8326at5820           -            292   2.6e-85  284.9   2.4   1   1   5.1e-88   3.6e-85  284.4   2.4    29   287   219   483   207   488 0.95 | transcript=PVPAM_070030900_t1 | gene=PVPAM_070030900 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=CASCJQ010000007:1119834-1121534(-) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720159.1         -            308 8326at5820           -            292   8.7e-78  260.2   1.6   1   1   1.5e-80   1.1e-77  259.8   1.6    28   287    21   281     7   286 0.96 | transcript=PVPAM_080038100_t1 | gene=PVPAM_080038100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=CASCJQ010000008:1509355-1510281(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 8326at5820           -            292   3.8e-67  225.3   1.5   1   1   1.9e-69   1.4e-66  223.4   1.5    32   285   541   829   532   834 0.83 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717793.1         -            564 8326at5820           -            292   7.3e-66  221.1   1.2   1   1   1.5e-68   1.1e-65  220.5   1.2    41   286    66   326    50   332 0.90 | transcript=PVPAM_010030700_t1 | gene=PVPAM_010030700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=CASCJQ010000001:1141578-1143819(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 8326at5820           -            292   4.3e-65  218.5   0.5   1   1   1.1e-67   7.6e-65  217.7   0.5    50   282   425   658   387   664 0.92 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 8326at5820           -            292   4.6e-47  159.4   2.4   1   2   6.3e-50   4.6e-47  159.4   2.4    55   287   239   481   208   486 0.87 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 8326at5820           -            292   4.6e-47  159.4   2.4   2   2      0.93   6.7e+02   -2.0   0.0   158   188   708   738   704   746 0.86 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 8326at5820           -            292   1.9e-37  127.8   0.9   1   2   4.1e-06    0.0029   15.6   0.0    29    95  1134  1203  1122  1213 0.81 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 8326at5820           -            292   1.9e-37  127.8   0.9   2   2     2e-33   1.4e-30  105.2   0.7    81   279  1256  1502  1251  1510 0.76 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
